rank_type,rank,variant,market,instrument,session_date,signal,scope,structure_tag,direction,signal_time,entry_time,entry_price,pivot_level,pivot_time,stop_price,stop_source,target_price,risk_reward,atr_at_signal,order_block_high,order_block_low,order_block_time,quantity,notional,position_risk_amount,slippage_points,holding_candles,exit_time,exit_price,exit_reason,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple
BEST,1,internal_all,equity,RELIANCE_NS,2026-04-06,INTERNAL_BEARISH_CHoCH,internal,CHoCH,SHORT,2026-04-06T09:20:00+05:30,2026-04-06T09:25:00+05:30,1330.999951,1338.699951,2026-04-02T13:05:00+05:30,1339.560655,atr_fallback,1313.878544,2.0,5.707136,,,,751,999580.96,6579.29,0.2,13,2026-04-06T10:25:00+05:30,1314.078544,TARGET,12707.98,398.21,12309.77,1.2315,1.871
BEST,2,internal_all,equity,TCS_NS,2026-04-10,INTERNAL_BEARISH_BOS,internal,BOS,SHORT,2026-04-10T09:15:00+05:30,2026-04-10T09:20:00+05:30,2547.8,2568.800049,2026-04-09T14:30:00+05:30,2563.646392,atr_fallback,2516.107216,2.0,10.564261,,,,392,998737.6,6290.19,0.2,4,2026-04-10T09:35:00+05:30,2516.307216,TARGET,12345.17,398.02,11947.15,1.1962,1.8993
BEST,3,internal_all,equity,INFY_NS,2026-04-22,INTERNAL_BEARISH_BOS,internal,BOS,SHORT,2026-04-22T09:15:00+05:30,2026-04-22T09:20:00+05:30,1279.600049,1308.0,2026-04-21T14:40:00+05:30,1287.496498,atr_fallback,1263.80715,2.0,5.2643,,,,781,999367.64,6323.33,0.2,13,2026-04-22T10:20:00+05:30,1264.00715,TARGET,12178.05,398.29,11779.76,1.1787,1.8629
BEST,4,internal_all,equity,ICICIBANK_NS,2026-04-10,INTERNAL_BULLISH_CHoCH,internal,CHoCH,LONG,2026-04-10T09:15:00+05:30,2026-04-10T09:20:00+05:30,1301.500049,1288.199951,2026-04-09T12:55:00+05:30,1293.689319,atr_fallback,1317.121509,2.0,5.207153,,,,768,999552.04,6152.24,0.2,9,2026-04-10T10:00:00+05:30,1316.921509,TARGET,11843.68,405.26,11438.42,1.1444,1.8592
BEST,5,internal_all,equity,INFY_NS,2026-04-07,INTERNAL_BULLISH_CHoCH,internal,CHoCH,LONG,2026-04-07T09:55:00+05:30,2026-04-07T10:00:00+05:30,1319.7,1314.800049,2026-04-06T13:15:00+05:30,1311.84641,atr_fallback,1335.407179,2.0,5.235726,,,,757,999012.9,6096.57,0.2,18,2026-04-07T11:25:00+05:30,1335.207179,TARGET,11738.93,405.04,11333.89,1.1345,1.8591
BEST,6,internal_all,equity,TCS_NS,2026-04-02,INTERNAL_BULLISH_CHoCH,internal,CHoCH,LONG,2026-04-02T09:40:00+05:30,2026-04-02T09:45:00+05:30,2412.800098,2412.399902,2026-04-01T15:20:00+05:30,2398.64662,atr_fallback,2441.107052,2.0,9.435652,,,,414,998899.24,5942.34,0.2,45,2026-04-02T13:25:00+05:30,2440.907052,TARGET,11636.28,404.97,11231.31,1.1244,1.89
BEST,7,internal_all,equity,BHARTIARTL_NS,2026-04-29,INTERNAL_BULLISH_BOS,internal,BOS,LONG,2026-04-29T09:50:00+05:30,2026-04-29T09:55:00+05:30,1874.799976,1874.900024,2026-04-29T09:20:00+05:30,1863.914238,atr_fallback,1896.571451,2.0,7.257159,,,,533,999268.39,5908.7,0.2,7,2026-04-29T10:25:00+05:30,1896.371451,TARGET,11497.6,405.06,11092.54,1.1101,1.8773
BEST,8,internal_all,derivatives,CNXIT,2026-04-22,INTERNAL_BEARISH_BOS,internal,BOS,SHORT,2026-04-22T09:15:00+05:30,2026-04-22T09:20:00+05:30,30814.0,31616.300781,2026-04-21T14:40:00+05:30,30990.265485,atr_fallback,30461.469029,2.0,117.510324,,,,32,986048.0,5800.5,5.0,23,2026-04-22T11:10:00+05:30,30466.469029,TARGET,11120.99,599.04,10521.95,1.0671,1.814
BEST,9,internal_all,equity,LT_NS,2026-04-15,INTERNAL_BULLISH_BOS,internal,BOS,LONG,2026-04-15T09:15:00+05:30,2026-04-15T09:20:00+05:30,4051.099902,3967.0,2026-04-13T14:25:00+05:30,4029.349902,atr_fallback,4094.599902,2.0,14.5,,,,246,996570.58,5399.7,0.2,8,2026-04-15T09:55:00+05:30,4094.399902,TARGET,10651.8,403.86,10247.94,1.0283,1.8979
BEST,10,internal_all,equity,RELIANCE_NS,2026-04-27,INTERNAL_BULLISH_CHoCH,internal,CHoCH,LONG,2026-04-27T09:50:00+05:30,2026-04-27T09:55:00+05:30,1337.000049,1330.300049,2026-04-24T14:30:00+05:30,1330.207189,atr_fallback,1350.585768,2.0,4.528573,,,,747,998739.04,5223.67,0.2,33,2026-04-27T12:35:00+05:30,1350.385768,TARGET,9999.13,404.44,9594.69,0.9607,1.8368
