date,trades,wins,losses,gross_pnl,costs,net_pnl,day_return_pct,ending_equity,drawdown,drawdown_pct
2026-03-30,12,0,12,-79312.83,153757.23,-233070.06,-23.307,766929.94,-233070.06,-23.307
2026-03-31,12,0,12,-82026.24,136280.32,-218306.56,-28.465,548623.38,-451376.62,-45.1377
2026-04-01,53,12,41,-101194.05,157303.11,-258497.16,-47.1174,290126.22,-709873.78,-70.9874
2026-04-02,62,19,43,-99153.39,145799.31,-244952.7,-84.4297,45173.52,-954826.48,-95.4826
2026-04-06,56,14,42,-128651.77,190610.29,-319262.06,-706.746,-274088.54,-1274088.54,-127.4089
2026-04-07,60,18,42,-104459.21,182484.58,-286943.79,104.6902,-561032.33,-1561032.33,-156.1032
2026-04-08,42,8,34,-104098.2,134703.6,-238801.8,42.5647,-799834.13,-1799834.13,-179.9834
2026-04-09,54,13,41,-81168.13,153464.72,-234632.85,29.3352,-1034466.98,-2034466.98,-203.4467
2026-04-10,65,8,57,-167581.22,225159.21,-392740.43,37.9655,-1427207.41,-2427207.41,-242.7207
2026-04-13,68,10,58,-175948.22,230461.42,-406409.64,28.4759,-1833617.05,-2833617.05,-283.3617
2026-04-14,17,0,17,-86181.57,163781.03,-249962.6,13.6322,-2083579.65,-3083579.65,-308.358
2026-04-15,57,10,47,-142073.97,180712.29,-322786.26,15.4919,-2406365.91,-3406365.91,-340.6366
2026-04-16,58,14,44,-119840.04,212350.66,-332190.7,13.8047,-2738556.61,-3738556.61,-373.8557
2026-04-17,59,9,50,-143728.56,167533.31,-311261.87,11.3659,-3049818.48,-4049818.48,-404.9818
2026-04-20,26,2,24,-140210.64,200432.58,-340643.22,11.1693,-3390461.7,-4390461.7,-439.0462
2026-04-21,64,17,47,-61299.85,226714.63,-288014.48,8.4948,-3678476.18,-4678476.18,-467.8476
2026-04-22,54,18,36,-16350.04,220493.43,-236843.47,6.4386,-3915319.65,-4915319.65,-491.532
2026-04-23,59,20,39,-73267.44,275599.22,-348866.66,8.9103,-4264186.31,-5264186.31,-526.4186
2026-04-24,57,12,45,-110084.59,211809.77,-321894.36,7.5488,-4586080.67,-5586080.67,-558.6081
2026-04-27,60,12,48,-95281.27,180733.43,-276014.7,6.0185,-4862095.37,-5862095.37,-586.2095
2026-04-28,67,14,53,-136898.02,230222.59,-367120.62,7.5507,-5229215.99,-6229215.99,-622.9216
2026-04-29,27,11,16,36917.19,12878.27,24038.92,-0.4597,-5205177.07,-6205177.07,-620.5177
