variant,market,instrument,session_date,signal,scope,structure_tag,direction,signal_time,entry_time,entry_price,pivot_level,pivot_time,stop_price,stop_source,target_price,risk_reward,atr_at_signal,order_block_high,order_block_low,order_block_time,quantity,notional,position_risk_amount,slippage_points,holding_candles,exit_time,exit_price,exit_reason,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple
internal_all,commodities,CLF,2026-03-30,INTERNAL_BULLISH_BOS,internal,BOS,LONG,2026-03-30T11:55:00-04:00,2026-03-30T12:00:00-04:00,103.159999,102.699997,2026-03-30T11:20:00-04:00,102.491429,atr_fallback,104.49714,2.0,0.445714,,,,9693,999929.87,8419.05,0.2,9,2026-03-30T12:40:00-04:00,102.291429,STOP_LOSS,-8419.05,17131.95,-25551.0,-2.5553,-3.0349
internal_all,commodities,CLF,2026-03-30,INTERNAL_BEARISH_CHoCH,internal,CHoCH,SHORT,2026-03-30T14:15:00-04:00,2026-03-30T14:20:00-04:00,102.240002,102.459999,2026-03-30T12:40:00-04:00,102.793931,atr_fallback,101.132146,2.0,0.369286,,,,9780,999907.22,7373.42,0.2,1,2026-03-30T14:20:00-04:00,102.993931,STOP_LOSS,-7373.43,17330.48,-24703.91,-2.4706,-3.3504
internal_all,commodities,CLF,2026-03-30,INTERNAL_BULLISH_CHoCH,internal,CHoCH,LONG,2026-03-30T15:05:00-04:00,2026-03-30T15:10:00-04:00,103.960002,103.730003,2026-03-30T13:30:00-04:00,103.468217,atr_fallback,104.943573,2.0,0.327857,,,,9619,999991.26,6654.28,0.2,3,2026-03-30T15:20:00-04:00,103.749997,SESSION_END,-2020.04,17213.61,-19233.65,-1.9234,-2.8904
internal_all,commodities,CLF,2026-03-31,INTERNAL_BEARISH_CHoCH,internal,CHoCH,SHORT,2026-03-31T10:10:00-04:00,2026-03-31T10:15:00-04:00,101.990002,102.349998,2026-03-30T14:20:00-04:00,102.819289,atr_fallback,100.33143,2.0,0.552858,,,,9715,990832.87,9999.52,0.2,2,2026-03-31T10:20:00-04:00,103.019289,STOP_LOSS,-9999.52,17207.55,-27207.07,-2.7459,-2.7208
internal_all,commodities,CLF,2026-03-31,INTERNAL_BULLISH_CHoCH,internal,CHoCH,LONG,2026-03-31T10:50:00-04:00,2026-03-31T10:55:00-04:00,104.45,104.209999,2026-03-30T15:10:00-04:00,103.599286,atr_fallback,106.151427,2.0,0.567142,,,,9517,994050.65,9999.64,0.2,5,2026-03-31T11:15:00-04:00,103.399286,STOP_LOSS,-9999.65,17010.96,-27010.61,-2.7172,-2.7012
internal_all,commodities,CLF,2026-03-31,INTERNAL_BULLISH_BOS,internal,BOS,LONG,2026-03-31T12:30:00-04:00,2026-03-31T12:35:00-04:00,105.000003,104.779999,2026-03-31T11:30:00-04:00,104.350717,atr_fallback,106.298576,2.0,0.432858,,,,9523,999915.03,8087.75,0.2,1,2026-03-31T12:35:00-04:00,104.150717,STOP_LOSS,-8087.75,17135.87,-25223.62,-2.5226,-3.1187
internal_all,commodities,CLF,2026-04-01,INTERNAL_BEARISH_BOS,internal,BOS,SHORT,2026-04-01T09:15:00-04:00,2026-04-01T09:20:00-04:00,100.12,100.800003,2026-03-31T14:30:00-04:00,101.065,atr_fallback,98.23,2.0,0.63,,,,8733,874347.96,9999.28,0.2,25,2026-04-01T11:25:00-04:00,100.100002,OPPOSITE_STRUCTURE,174.65,15076.79,-14902.14,-1.7044,-1.4903
internal_all,commodities,CLF,2026-04-01,INTERNAL_BULLISH_CHoCH,internal,CHoCH,LONG,2026-04-01T11:20:00-04:00,2026-04-01T11:25:00-04:00,100.100002,99.580002,2026-04-01T10:40:00-04:00,99.250359,atr_fallback,101.799286,2.0,0.566428,,,,9527,953652.71,9999.94,0.2,21,2026-04-01T13:05:00-04:00,99.050359,STOP_LOSS,-9999.95,16316.44,-26316.39,-2.7595,-2.6317
internal_all,commodities,CLF,2026-04-02,INTERNAL_BULLISH_BOS,internal,BOS,LONG,2026-04-02T09:15:00-04:00,2026-04-02T09:20:00-04:00,113.299998,100.440002,2026-04-01T14:35:00-04:00,111.402499,atr_fallback,117.094998,2.0,1.265,,,,4767,540101.09,9998.78,0.2,7,2026-04-02T09:50:00-04:00,111.202499,STOP_LOSS,-9998.78,9206.67,-19205.45,-3.5559,-1.9208
internal_all,commodities,CLF,2026-04-02,INTERNAL_BULLISH_BOS,internal,BOS,LONG,2026-04-02T11:20:00-04:00,2026-04-02T11:25:00-04:00,110.469997,109.669998,2026-04-02T10:50:00-04:00,108.549998,atr_fallback,114.309993,2.0,1.279999,,,,4716,520976.5,9997.91,0.2,18,2026-04-02T12:55:00-04:00,110.460004,OPPOSITE_STRUCTURE,-47.13,9003.23,-9050.36,-1.7372,-0.9052
internal_all,commodities,CLF,2026-04-02,INTERNAL_BEARISH_CHoCH,internal,CHoCH,SHORT,2026-04-02T12:50:00-04:00,2026-04-02T12:55:00-04:00,110.460004,110.760002,2026-04-02T12:00:00-04:00,111.417861,atr_fallback,108.544289,2.0,0.638572,,,,8636,953932.59,9999.26,0.2,2,2026-04-02T13:00:00-04:00,111.617861,STOP_LOSS,-9999.25,16573.16,-26572.41,-2.7856,-2.6574
internal_all,commodities,CLF,2026-04-06,INTERNAL_BULLISH_CHoCH,internal,CHoCH,LONG,2026-04-06T09:35:00-04:00,2026-04-06T09:40:00-04:00,112.909999,112.300003,2026-04-02T14:25:00-04:00,112.165356,atr_fallback,114.399286,2.0,0.496429,,,,8856,999930.95,8365.76,0.2,2,2026-04-06T09:45:00-04:00,111.965356,STOP_LOSS,-8365.76,17132.64,-25498.4,-2.55,-3.0479
internal_all,commodities,CLF,2026-04-06,INTERNAL_BEARISH_CHoCH,internal,CHoCH,SHORT,2026-04-06T10:30:00-04:00,2026-04-06T10:35:00-04:00,110.55,110.769997,2026-04-02T15:00:00-04:00,111.589286,atr_fallback,108.471428,2.0,0.692857,,,,8069,892027.95,9999.8,0.2,1,2026-04-06T10:35:00-04:00,111.789286,STOP_LOSS,-9999.8,15508.9,-25508.7,-2.8596,-2.5509
internal_all,commodities,CLF,2026-04-06,INTERNAL_BULLISH_CHoCH,internal,CHoCH,LONG,2026-04-06T13:00:00-04:00,2026-04-06T13:05:00-04:00,112.939998,112.699997,2026-04-06T11:35:00-04:00,112.267141,atr_fallback,114.285712,2.0,0.448571,,,,8854,999970.74,7728.28,0.2,17,2026-04-06T14:25:00-04:00,112.067141,STOP_LOSS,-7728.28,17141.35,-24869.63,-2.487,-3.218
internal_all,commodities,CLF,2026-04-06,INTERNAL_BULLISH_BOS,internal,BOS,LONG,2026-04-06T15:10:00-04:00,2026-04-06T15:15:00-04:00,112.810001,112.589996,2026-04-06T14:35:00-04:00,112.060001,atr_fallback,114.310001,2.0,0.5,,,,8864,999947.85,8420.8,0.2,2,2026-04-06T15:20:00-04:00,112.710004,SESSION_END,-886.38,17227.14,-18113.52,-1.8114,-2.151
