variant,market,instrument,session_date,signal,scope,structure_tag,direction,signal_time,entry_time,entry_price,pivot_level,pivot_time,stop_price,stop_source,target_price,risk_reward,atr_at_signal,order_block_high,order_block_low,order_block_time,quantity,notional,position_risk_amount,slippage_points,holding_candles,exit_time,exit_price,exit_reason,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple
swing_all,commodities,CLF,2026-04-02,SWING_BULLISH_BOS,swing,BOS,LONG,2026-04-02T09:15:00-04:00,2026-04-02T09:20:00-04:00,113.299998,105.040001,2026-03-31T12:35:00-04:00,111.402499,atr_fallback,117.094998,2.0,1.265,,,,4767,540101.09,9998.78,0.2,7,2026-04-02T09:50:00-04:00,111.202499,STOP_LOSS,-9998.78,9206.67,-19205.45,-3.5559,-1.9208
swing_all,commodities,CLF,2026-04-06,SWING_BULLISH_BOS,swing,BOS,LONG,2026-04-06T13:15:00-04:00,2026-04-06T13:20:00-04:00,113.890002,113.610001,2026-04-02T09:20:00-04:00,113.183931,atr_fallback,115.302146,2.0,0.470715,,,,8780,999954.22,7955.31,0.2,2,2026-04-06T13:25:00-04:00,112.983931,STOP_LOSS,-7955.3,17138.21,-25093.51,-2.5095,-3.1543
swing_all,commodities,CLF,2026-04-08,SWING_BEARISH_CHoCH,swing,CHoCH,SHORT,2026-04-08T09:15:00-04:00,2026-04-08T09:20:00-04:00,92.219998,106.620003,2026-04-02T10:35:00-04:00,95.682857,atr_fallback,85.294281,2.0,2.308572,,,,2730,251760.6,9999.6,0.2,16,2026-04-08T10:35:00-04:00,95.882857,STOP_LOSS,-9999.61,4501.42,-14501.03,-5.7598,-1.4502
swing_all,commodities,CLF,2026-04-13,SWING_BULLISH_CHoCH,swing,CHoCH,LONG,2026-04-13T09:15:00-04:00,2026-04-13T09:20:00-04:00,103.780002,102.699997,2026-04-09T10:35:00-04:00,102.30786,atr_fallback,106.724285,2.0,0.981428,,,,5980,620604.41,9999.41,0.2,6,2026-04-13T09:45:00-04:00,102.10786,STOP_LOSS,-9999.41,10590.68,-20590.09,-3.3177,-2.0591
swing_all,commodities,CLF,2026-04-14,SWING_BEARISH_CHoCH,swing,CHoCH,SHORT,2026-04-14T09:40:00-04:00,2026-04-14T09:45:00-04:00,95.020001,95.25,2026-04-09T13:35:00-04:00,95.897503,atr_fallback,93.264997,2.0,0.585001,,,,9280,881785.61,9999.22,0.2,5,2026-04-14T10:05:00-04:00,93.464997,TARGET,14430.44,15025.09,-594.65,-0.0674,-0.0595
swing_all,commodities,CLF,2026-04-16,SWING_BEARISH_BOS,swing,BOS,SHORT,2026-04-16T09:15:00-04:00,2026-04-16T09:20:00-04:00,88.960004,90.400002,2026-04-15T09:35:00-04:00,89.488217,atr_fallback,87.903577,2.0,0.352142,,,,11241,999999.4,8185.85,0.2,4,2026-04-16T09:35:00-04:00,89.688217,STOP_LOSS,-8185.84,17342.3,-25528.14,-2.5528,-3.1186
swing_all,commodities,CLF,2026-04-17,SWING_BEARISH_BOS,swing,BOS,SHORT,2026-04-17T09:15:00-04:00,2026-04-17T09:20:00-04:00,81.109998,88.790001,2026-04-16T09:25:00-04:00,82.428925,atr_fallback,78.472143,2.0,0.879285,,,,6583,533947.11,9999.1,0.2,2,2026-04-17T09:25:00-04:00,82.628925,STOP_LOSS,-9999.1,9352.77,-19351.87,-3.6243,-1.9354
swing_all,commodities,CLF,2026-04-22,SWING_BULLISH_CHoCH,swing,CHoCH,LONG,2026-04-22T10:40:00-04:00,2026-04-22T10:45:00-04:00,92.180003,91.82,2026-04-16T13:55:00-04:00,91.520003,atr_fallback,93.500004,2.0,0.44,,,,10848,999968.68,9329.28,0.2,6,2026-04-22T11:10:00-04:00,91.320003,STOP_LOSS,-9329.28,17121.15,-26450.43,-2.6451,-2.8352
swing_all,commodities,CLF,2026-04-28,SWING_BULLISH_BOS,swing,BOS,LONG,2026-04-28T09:15:00-04:00,2026-04-28T09:20:00-04:00,100.289996,98.389999,2026-04-23T13:45:00-04:00,99.541069,atr_fallback,101.787851,2.0,0.499285,,,,9971,999991.55,9461.76,0.2,1,2026-04-28T09:20:00-04:00,99.341069,STOP_LOSS,-9461.75,17119.87,-26581.62,-2.6582,-2.8094
swing_all,commodities,GCF,2026-04-07,SWING_BEARISH_BOS,swing,BOS,SHORT,2026-04-07T09:40:00-04:00,2026-04-07T09:45:00-04:00,4663.8,4668.600098,2026-04-02T12:20:00-04:00,4675.264286,atr_fallback,4640.871429,2.0,7.642857,,,,214,998053.2,2496.16,0.2,2,2026-04-07T09:50:00-04:00,4675.464286,STOP_LOSS,-2496.16,17237.17,-19733.33,-1.9772,-7.9055
swing_all,commodities,GCF,2026-04-08,SWING_BULLISH_CHoCH,swing,CHoCH,LONG,2026-04-08T09:15:00-04:00,2026-04-08T09:20:00-04:00,4820.800098,4724.0,2026-04-06T10:35:00-04:00,4796.43577,atr_fallback,4869.528753,2.0,16.242885,,,,207,997905.62,5084.82,0.2,8,2026-04-08T09:55:00-04:00,4796.23577,STOP_LOSS,-5084.82,17139.15,-22223.97,-2.2271,-4.3706
swing_all,commodities,GCF,2026-04-14,SWING_BULLISH_BOS,swing,BOS,LONG,2026-04-14T10:15:00-04:00,2026-04-14T10:20:00-04:00,4828.499805,4826.0,2026-04-09T13:40:00-04:00,4811.046296,atr_fallback,4863.406822,2.0,11.635672,,,,207,999499.46,3654.28,0.2,40,2026-04-14T13:35:00-04:00,4863.206822,TARGET,7184.35,17321.09,-10136.74,-1.0142,-2.7739
swing_all,commodities,GCF,2026-04-16,SWING_BEARISH_CHoCH,swing,CHoCH,SHORT,2026-04-16T13:25:00-04:00,2026-04-16T13:30:00-04:00,4805.8,4807.899902,2026-04-15T11:30:00-04:00,4815.121429,atr_fallback,4787.157143,2.0,6.214286,,,,208,999606.4,1980.46,0.2,7,2026-04-16T14:00:00-04:00,4815.321429,STOP_LOSS,-1980.46,17257.38,-19237.84,-1.9245,-9.7138
swing_all,commodities,GCF,2026-04-17,SWING_BULLISH_CHoCH,swing,CHoCH,LONG,2026-04-17T09:15:00-04:00,2026-04-17T09:20:00-04:00,4886.599902,4834.700195,2026-04-16T11:10:00-04:00,4871.557108,atr_fallback,4916.685491,2.0,10.02853,,,,204,996866.38,3109.53,0.2,3,2026-04-17T09:30:00-04:00,4871.357108,STOP_LOSS,-3109.53,17146.16,-20255.69,-2.0319,-6.5141
swing_all,commodities,GCF,2026-04-21,SWING_BEARISH_CHoCH,swing,CHoCH,SHORT,2026-04-21T09:15:00-04:00,2026-04-21T09:20:00-04:00,4786.400098,4811.899902,2026-04-20T10:50:00-04:00,4797.189404,atr_fallback,4764.821484,2.0,7.192871,,,,208,995571.22,2285.78,0.2,3,2026-04-21T09:30:00-04:00,4797.389404,STOP_LOSS,-2285.78,17191.85,-19477.63,-1.9564,-8.5212
swing_all,commodities,GCF,2026-04-23,SWING_BEARISH_BOS,swing,BOS,SHORT,2026-04-23T13:40:00-04:00,2026-04-23T13:45:00-04:00,4694.000195,4712.0,2026-04-21T14:25:00-04:00,4710.532317,atr_fallback,4660.935951,2.0,11.021415,,,,213,999822.04,3563.94,0.2,2,2026-04-23T13:50:00-04:00,4710.732317,STOP_LOSS,-3563.94,17281.03,-20844.97,-2.0849,-5.8489
swing_all,commodities,GCF,2026-04-28,SWING_BEARISH_BOS,swing,BOS,SHORT,2026-04-28T09:15:00-04:00,2026-04-28T09:20:00-04:00,4590.599805,4680.100098,2026-04-23T13:45:00-04:00,4605.62115,atr_fallback,4560.557115,2.0,10.01423,,,,217,996160.16,3303.03,0.2,6,2026-04-28T09:45:00-04:00,4605.82115,STOP_LOSS,-3303.03,17214.79,-20517.82,-2.0597,-6.2118
