rank_type,rank,target_level,market,instrument,session_date,signal,original_signal,direction,signal_time,entry_time,pine_entry_price,entry_price,stop_price,target_price,tp1,tp2,tp3,tp4,tp5,atr,risk_per_unit_reference,ema_fast,ema_slow,vwap,rsi,macd,macd_signal,adx,volume,volume_sma,bull_score_pct,bear_score_pct,bias,quantity,notional,position_risk_amount,slippage_points,max_target_hit,holding_candles,exit_time,exit_price,exit_reason,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple
BEST,1,2,derivatives,CNXAUTO_data_1h,2026-04-23,SELL,SELL,SHORT,2026-04-23T09:15:00+05:30,2026-04-23T10:15:00+05:30,26090.949219,26084.349609,26292.412887,25688.021883,25889.485551,25688.021883,25486.558215,25285.094547,25083.630879,134.309112,201.463668,26463.093265,26505.039104,26148.516276,30.7594,-11.996956,38.569366,12.7894,0.0,0.0,0.0,71.43,STRONG BEAR,38,991205.29,8096.4,5.0,1,6,2026-04-23T15:15:00+05:30,25852.949219,SESSION_END,8793.21,603.18,8190.03,0.8263,1.0116
BEST,2,2,derivatives,CNXIT_data_1h,2026-04-22,SELL,SELL,SHORT,2026-04-22T09:15:00+05:30,2026-04-22T10:15:00+05:30,30671.449219,30665.900391,31033.655829,29947.035998,30309.242608,29947.035998,29584.829387,29222.622777,28860.416167,241.471074,362.20661,31519.302108,31565.871399,30793.632812,27.2806,23.258835,126.110886,23.2928,0.0,0.0,0.0,71.43,STRONG BEAR,26,797313.41,9691.64,5.0,1,6,2026-04-22T15:15:00+05:30,30508.25,SESSION_END,4098.91,495.98,3602.93,0.4519,0.3718
BEST,3,2,derivatives,CNXAUTO_data_1h,2026-04-28,SELL,SELL,SHORT,2026-04-28T11:15:00+05:30,2026-04-28T12:15:00+05:30,25868.449219,25861.800781,26085.449802,25434.448052,25651.448636,25434.448052,25217.447469,25000.446886,24783.446303,144.667055,217.000583,25993.794674,25997.530695,26055.227648,42.325,-38.171675,-80.61151,22.9055,0.0,0.0,14.29,57.14,STRONG BEAR,38,982748.43,8688.66,5.0,0,4,2026-04-28T15:15:00+05:30,25809.449219,SESSION_END,1989.36,601.95,1387.41,0.1412,0.1597
BEST,4,2,derivatives,CNXIT_data_1h,2026-04-15,BUY,BUY,LONG,2026-04-15T09:15:00+05:30,2026-04-15T10:15:00+05:30,31453.400391,31458.900391,31062.064124,32236.072923,31844.736657,32236.072923,32627.40919,33018.745456,33410.081722,260.890844,391.336266,30855.294228,30830.118096,31412.283203,66.5419,8.476999,-22.901192,,0.0,,71.43,0.0,STRONG BULL,24,755013.61,9644.07,5.0,0,6,2026-04-15T15:15:00+05:30,31521.599609,SESSION_END,1504.78,474.98,1029.8,0.1364,0.1068
BEST,5,2,derivatives,NSEBANK_data_1h,2026-04-23,SELL,SELL,SHORT,2026-04-23T12:15:00+05:30,2026-04-23T13:15:00+05:30,56396.949219,56392.398438,56770.728764,55649.390127,56023.169673,55649.390127,55275.610582,54901.831036,54528.05149,249.186364,373.779546,56809.423755,56851.054495,56577.395508,37.9877,54.608978,192.282024,25.4359,0.0,0.0,0.0,85.71,STRONG BEAR,17,958670.77,6516.62,5.0,0,3,2026-04-23T15:15:00+05:30,56321.0,SESSION_END,1213.77,588.74,625.03,0.0652,0.0959
BEST,6,2,derivatives,NSEI_data_1h,2026-04-23,SELL,SELL,SHORT,2026-04-23T10:15:00+05:30,2026-04-23T11:15:00+05:30,24191.849609,24188.199219,24325.955295,23923.638237,24057.743923,23923.638237,23789.532552,23655.426866,23521.32118,89.403791,134.105686,24350.799529,24363.329461,24232.133138,37.15,17.88955,60.363654,20.9407,0.0,0.0,0.0,71.43,STRONG BEAR,41,991716.17,5853.0,5.0,0,5,2026-04-23T15:15:00+05:30,24161.050781,SESSION_END,1113.09,607.48,505.61,0.051,0.0864
BEST,7,2,derivatives,NSEI_data_1h,2026-04-15,BUY,BUY,LONG,2026-04-15T10:15:00+05:30,2026-04-15T11:15:00+05:30,24184.25,24189.5,23990.572151,24571.605699,24377.927849,24571.605699,24765.283548,24958.961397,25152.639247,129.118566,193.677849,23983.977116,23961.452533,24215.008138,57.748,6.673132,-22.142477,,0.0,,57.14,14.29,STRONG BULL,41,991769.5,8361.04,5.0,0,5,2026-04-15T15:15:00+05:30,24206.900391,SESSION_END,713.42,608.47,104.95,0.0106,0.0126
BEST,8,2,derivatives,CNXAUTO_data_1h,2026-04-15,BUY,BUY,LONG,2026-04-15T11:15:00+05:30,2026-04-15T12:15:00+05:30,26541.150391,26547.0,26223.527948,27176.395276,26858.772833,27176.395276,27494.017718,27811.640161,28129.262603,211.748295,317.622443,26362.377144,26340.180641,26537.816623,55.6767,10.144814,-14.166647,,0.0,,71.43,0.0,STRONG BULL,30,796410.0,9854.16,5.0,0,4,2026-04-15T15:15:00+05:30,26465.5,SESSION_END,-2445.0,496.33,-2941.33,-0.3693,-0.2985
BEST,9,2,derivatives,CNXFMCG_data_1h,2026-04-15,BUY,BUY,LONG,2026-04-15T11:15:00+05:30,2026-04-15T12:15:00+05:30,48377.101562,48381.75,47977.043578,49177.217531,48777.159547,49177.217531,49577.275516,49977.3335,50377.391485,266.705323,400.057984,47992.676419,47951.070636,48254.283854,57.4359,11.136417,-43.888002,,0.0,,71.43,0.0,STRONG BULL,20,967635.0,8194.13,5.0,0,4,2026-04-15T15:15:00+05:30,48247.550781,SESSION_END,-2683.98,593.04,-3277.02,-0.3387,-0.3999
BEST,10,2,derivatives,NSEBANK_data_1h,2026-04-15,BUY,BUY,LONG,2026-04-15T09:15:00+05:30,2026-04-15T10:15:00+05:30,56503.101562,56507.699219,55880.483269,57748.33815,57125.719856,57748.33815,58370.956443,58993.574737,59616.193031,415.078862,622.618294,55711.353831,55692.730722,56532.266927,59.8199,-18.890964,-81.874281,,0.0,,57.14,14.29,STRONG BULL,15,847615.49,9483.24,5.0,0,6,2026-04-15T15:15:00+05:30,56253.851562,SESSION_END,-3807.71,524.58,-4332.29,-0.5111,-0.4568
