date,trades,wins,losses,gross_pnl,costs,net_pnl,day_return_pct,ending_equity,drawdown,drawdown_pct
2026-03-30,13,4,9,-2056.74,774.5,-2831.23,-2.8312,97168.77,-2831.23,-2.8312
2026-03-31,13,2,11,-2900.0,765.38,-3665.42,-3.7722,93503.35,-6496.65,-6.4966
2026-04-01,54,22,32,-340.34,3054.98,-3395.23,-3.6311,90108.12,-9891.88,-9.8919
2026-04-02,36,16,20,1521.01,2099.08,-578.08,-0.6415,89530.04,-10469.96,-10.47
2026-04-06,56,14,42,-8286.47,3309.19,-11595.68,-12.9517,77934.36,-22065.64,-22.0656
2026-04-07,76,23,53,-1592.68,4301.56,-5894.28,-7.5631,72040.08,-27959.92,-27.9599
2026-04-08,48,14,34,-4571.29,2818.98,-7390.26,-10.2585,64649.82,-35350.18,-35.3502
2026-04-09,56,21,35,4111.48,3190.22,921.19,1.4249,65571.01,-34428.99,-34.429
2026-04-10,73,19,54,-1748.54,4217.15,-5965.72,-9.0981,59605.29,-40394.71,-40.3947
2026-04-13,54,15,39,-602.11,3037.13,-3639.28,-6.1056,55966.01,-44033.99,-44.034
2026-04-14,9,1,8,-659.19,539.53,-1198.75,-2.1419,54767.26,-45232.74,-45.2327
2026-04-15,70,14,56,-5161.43,3863.09,-9024.47,-16.4779,45742.79,-54257.21,-54.2572
2026-04-16,66,23,43,-901.09,3791.22,-4692.29,-10.258,41050.5,-58949.5,-58.9495
2026-04-17,69,16,53,-4060.91,3929.19,-7990.03,-19.4639,33060.47,-66939.53,-66.9395
2026-04-20,25,2,23,-5324.85,1491.32,-6816.19,-20.6173,26244.28,-73755.72,-73.7557
2026-04-21,49,15,34,997.24,2900.83,-1903.59,-7.2534,24340.69,-75659.31,-75.6593
2026-04-22,63,24,39,4549.06,3441.29,1107.77,4.5511,25448.46,-74551.54,-74.5515
2026-04-23,66,15,51,-3644.72,3739.78,-7384.46,-29.0173,18064.0,-81936.0,-81.936
2026-04-24,52,14,38,-1669.48,2869.39,-4538.86,-25.1266,13525.14,-86474.86,-86.4749
2026-04-27,59,16,43,-2452.58,3352.63,-5805.23,-42.9218,7719.91,-92280.09,-92.2801
2026-04-28,54,13,41,-3204.43,2984.14,-6188.54,-80.1634,1531.37,-98468.63,-98.4686
2026-04-29,20,9,11,2645.07,1106.5,1538.56,100.4695,3069.93,-96930.07,-96.9301
