market,instrument,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,CLF,70,4,66,5.71,-1317979.56,-18828.28,9464.02,-27269.55,0.0225
commodities,GCF,59,1,58,1.69,-1010052.11,-17119.53,2419.54,-20710.65,0.0024
commodities,HGF,53,0,53,0.0,-646382.09,-12195.89,-10735.74,-12640.22,0.0
commodities,NGF,71,0,71,0.0,-777553.92,-10951.46,-10081.47,-11289.09,0.0
commodities,SIF,68,2,66,2.94,-1481387.99,-21785.12,4251.32,-27344.78,0.0031
derivatives,CNXAUTO,43,13,30,30.23,-16884.77,-392.67,13869.16,-6160.04,0.7866
derivatives,CNXFMCG,56,11,45,19.64,-39055.67,-697.42,11426.12,-5165.53,0.6136
derivatives,CNXIT,53,17,36,32.08,6431.67,121.35,19025.92,-4952.7,1.0629
derivatives,NSEBANK,50,12,38,24.0,-29377.72,-587.55,11910.67,-5647.73,0.6629
derivatives,NSEI,49,13,36,26.53,-29018.37,-592.21,13353.97,-4915.1,0.6423
equity,BHARTIARTL_NS,56,18,38,32.14,-11009.82,-196.6,18789.8,-5780.36,0.8962
equity,HDFCBANK_NS,45,11,34,24.44,-28404.81,-631.22,15578.0,-6126.55,0.74
equity,ICICIBANK_NS,51,14,37,27.45,22541.29,441.99,17708.09,-5715.12,1.229
equity,INFY_NS,53,14,39,26.42,-36165.95,-682.38,17785.49,-6525.9,0.7302
equity,ITC_NS,57,9,48,15.79,-107686.44,-1889.24,12981.55,-5971.21,0.2756
equity,KOTAKBANK_NS,41,14,27,34.15,-1030.87,-25.14,17609.91,-8485.51,0.9895
equity,LT_NS,58,15,43,25.86,-13073.36,-225.4,22772.74,-7187.94,0.885
equity,RELIANCE_NS,55,14,41,25.45,-17110.76,-311.1,27761.32,-6212.32,0.835
equity,SBIN_NS,49,18,31,36.73,47714.33,973.76,21634.15,-6565.84,1.5231
equity,TCS_NS,44,15,29,34.09,45050.09,1023.87,19758.21,-5350.38,1.5456
