rank_type,rank,target_level,market,instrument,session_date,signal,original_signal,direction,signal_time,entry_time,pine_entry_price,entry_price,stop_price,target_price,tp1,tp2,tp3,tp4,tp5,atr,risk_per_unit_reference,ema_fast,ema_slow,vwap,rsi,macd,macd_signal,adx,volume,volume_sma,bull_score_pct,bear_score_pct,bias,quantity,notional,position_risk_amount,slippage_points,max_target_hit,holding_candles,exit_time,exit_price,exit_reason,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple
BEST,1,5,derivatives,CNXIT,2026-04-02,BUY,BUY,LONG,2026-04-02T10:45:00+05:30,2026-04-02T10:50:00+05:30,29633.650391,29637.050781,29512.96121,30237.096293,29754.339571,29875.028752,29995.717932,30116.407113,30237.096293,80.459454,120.68918,29583.731,29578.025932,29534.920127,53.5079,-13.454675,-38.297293,23.7962,0.0,0.0,71.43,0.0,STRONG BULL,33,978022.68,4259.96,5.0,5,34,2026-04-02T13:35:00+05:30,30232.096293,TP5,19636.5,610.58,19025.92,1.9453,4.4662
BEST,2,5,derivatives,CNXIT,2026-04-07,BUY,BUY,LONG,2026-04-07T09:20:00+05:30,2026-04-07T09:25:00+05:30,30724.699219,30735.400391,30619.777151,31249.309558,30829.621287,30934.543354,31039.465422,31144.38749,31249.309558,69.948045,104.922068,30637.742827,30636.957913,30597.657878,60.148,-0.205577,-3.293305,19.0136,0.0,0.0,71.43,0.0,STRONG BULL,32,983532.81,3859.94,5.0,5,23,2026-04-07T11:15:00+05:30,31244.309558,TP5,16285.09,611.95,15673.14,1.5936,4.0605
BEST,3,5,derivatives,CNXAUTO,2026-04-02,BUY,BUY,LONG,2026-04-02T12:20:00+05:30,2026-04-02T12:25:00+05:30,23670.900391,23675.5,23599.998105,24025.411821,23741.802677,23812.704963,23883.607249,23954.509535,24025.411821,47.268191,70.902286,23664.39239,23664.123115,23639.963216,48.0726,-20.109132,-41.228659,33.2885,0.0,0.0,57.14,28.57,MILD BULL,42,994371.0,3381.08,5.0,5,17,2026-04-02T13:45:00+05:30,24020.411821,TP5,14486.3,617.14,13869.16,1.3948,4.102
BEST,4,5,derivatives,NSEI,2026-04-06,BUY,BUY,LONG,2026-04-06T11:45:00+05:30,2026-04-06T11:50:00+05:30,22645.699219,22651.199219,22580.089525,22973.747688,22711.308913,22776.918606,22842.5283,22908.137994,22973.747688,43.739796,65.609694,22625.705726,22623.727306,22627.189306,54.8099,2.784571,1.405293,11.5349,0.0,0.0,71.43,0.0,STRONG BULL,44,996652.77,3348.83,5.0,5,40,2026-04-06T15:05:00+05:30,22968.747688,TP5,13972.13,618.16,13353.97,1.3399,3.9877
BEST,5,5,derivatives,NSEBANK,2026-04-02,BUY,BUY,LONG,2026-04-02T12:35:00+05:30,2026-04-02T12:40:00+05:30,50352.800781,50357.25,50219.273838,51020.435497,50486.327724,50619.854668,50753.381611,50886.908554,51020.435497,89.017962,133.526943,50201.402893,50184.659756,50127.839082,62.1326,-23.929141,-70.590304,24.3871,0.0,0.0,71.43,0.0,STRONG BULL,19,956787.75,2716.55,5.0,5,19,2026-04-02T14:10:00+05:30,51015.435497,TP5,12505.52,594.85,11910.67,1.2449,4.3845
BEST,6,5,derivatives,CNXIT,2026-04-29,BUY,BUY,LONG,2026-04-29T09:15:00+05:30,2026-04-29T09:20:00+05:30,29105.599609,29107.550781,29033.338544,29466.904936,29177.860675,29250.12174,29322.382806,29394.643871,29466.904936,48.174044,72.261065,28984.222822,28972.3039,29103.616536,69.407,3.22379,-9.923914,26.2274,0.0,0.0,85.71,0.0,STRONG BULL,34,989656.73,2693.22,5.0,5,7,2026-04-29T09:50:00+05:30,29461.904936,TP5,12048.04,613.2,11434.84,1.1554,4.2458
BEST,7,5,derivatives,CNXFMCG,2026-04-06,BUY,BUY,LONG,2026-04-06T12:35:00+05:30,2026-04-06T12:40:00+05:30,46055.800781,46060.800781,45939.261235,46638.498513,46172.340328,46288.879874,46405.41942,46521.958967,46638.498513,77.693031,116.539546,46027.724531,46026.358217,46049.351721,52.9531,-4.167054,-12.799226,11.5219,0.0,0.0,71.43,0.0,STRONG BULL,21,967276.82,2657.33,5.0,5,31,2026-04-06T15:10:00+05:30,46633.498513,TP5,12026.65,600.53,11426.12,1.1813,4.2999
BEST,8,5,derivatives,CNXIT,2026-04-22,SELL,SELL,SHORT,2026-04-22T09:15:00+05:30,2026-04-22T09:20:00+05:30,30819.25,30814.0,30993.818383,29946.408086,30644.681617,30470.113234,30295.544852,30120.976469,29946.408086,116.378922,174.568383,31535.746741,31629.862868,30846.349609,11.9263,-73.037,-23.831793,25.1583,0.0,0.0,0.0,85.71,STRONG BEAR,32,986048.0,5914.19,5.0,3,56,2026-04-22T13:55:00+05:30,30440.0,OPPOSITE_SIGNAL,11968.0,598.6,11369.4,1.153,1.9224
BEST,9,5,derivatives,CNXIT,2026-04-27,BUY,BUY,LONG,2026-04-27T09:15:00+05:30,2026-04-27T09:20:00+05:30,28821.550781,28820.75,28729.019777,29284.205802,28914.081785,29006.612789,29099.143793,29191.674797,29284.205802,61.687336,92.531004,28592.52667,28568.678569,28767.983724,72.8108,0.38942,-30.725071,34.6456,0.0,0.0,85.71,0.0,STRONG BULL,34,979905.5,3288.83,5.0,4,73,2026-04-27T15:20:00+05:30,29172.050781,SESSION_END,11944.23,607.63,11336.6,1.1569,3.447
BEST,10,5,derivatives,CNXFMCG,2026-04-29,BUY,BUY,LONG,2026-04-29T09:15:00+05:30,2026-04-29T09:20:00+05:30,51167.648438,51171.398438,51042.52655,51793.257873,51292.770325,51417.892212,51543.014099,51668.135986,51793.257873,83.414591,125.121887,50973.608795,50962.892252,51155.799479,66.971,5.03116,-4.862368,16.7554,0.0,0.0,71.43,0.0,STRONG BULL,19,972256.57,2543.57,5.0,5,31,2026-04-29T11:50:00+05:30,51788.257873,TP5,11720.33,603.18,11117.15,1.1434,4.3707
WORST,1,5,derivatives,CNXAUTO,2026-04-13,SELL,SELL,SHORT,2026-04-13T09:15:00+05:30,2026-04-13T09:20:00+05:30,26014.25,26007.599609,26148.678813,25342.105935,25879.821187,25745.392374,25610.963561,25476.534748,25342.105935,89.619209,134.428813,26496.937591,26539.340678,26030.30013,18.3032,-23.951572,8.714913,29.1646,0.0,0.0,0.0,85.71,STRONG BEAR,38,988288.79,5551.01,5.0,0,3,2026-04-13T09:30:00+05:30,26153.678813,STOP_LOSS,-5551.01,609.03,-6160.04,-0.6233,-1.1097
WORST,2,5,derivatives,NSEBANK,2026-04-13,SELL,SELL,SHORT,2026-04-13T09:15:00+05:30,2026-04-13T09:20:00+05:30,54489.148438,54483.75,54758.931278,53140.234235,54219.365597,53949.582756,53679.799916,53410.017075,53140.234235,179.855227,269.782841,55598.607606,55720.027775,54559.733073,14.866,-83.904051,-7.335008,22.0523,0.0,0.0,0.0,71.43,STRONG BEAR,18,980707.5,5043.26,5.0,0,8,2026-04-13T09:55:00+05:30,54763.931278,STOP_LOSS,-5043.26,604.47,-5647.73,-0.5759,-1.1199
WORST,3,5,derivatives,CNXAUTO,2026-04-06,SELL,SELL,SHORT,2026-04-06T11:00:00+05:30,2026-04-06T11:05:00+05:30,24064.949219,24058.050781,24167.924544,23550.072594,23961.973894,23858.998569,23756.023244,23653.047919,23550.072594,68.650217,102.975325,24106.39195,24107.785047,24121.562826,46.0514,9.056703,20.98225,12.6562,0.0,0.0,0.0,71.43,STRONG BEAR,41,986380.08,4709.82,5.0,0,10,2026-04-06T11:50:00+05:30,24172.924544,STOP_LOSS,-4709.82,607.51,-5317.33,-0.5391,-1.129
WORST,4,5,derivatives,CNXAUTO,2026-04-07,SELL,SELL,SHORT,2026-04-07T09:15:00+05:30,2026-04-07T09:20:00+05:30,23866.800781,23867.25,23975.739479,23322.10729,23757.862083,23648.923385,23539.984687,23431.045988,23322.10729,72.625799,108.938698,24239.07962,24259.435617,23973.166667,21.9406,-2.049972,27.300197,24.8888,0.0,0.0,0.0,71.43,STRONG BEAR,41,978557.25,4653.07,5.0,0,2,2026-04-07T09:25:00+05:30,23980.739479,STOP_LOSS,-4653.07,603.05,-5256.12,-0.5371,-1.1296
WORST,5,5,derivatives,CNXFMCG,2026-04-07,SELL,SELL,SHORT,2026-04-07T09:45:00+05:30,2026-04-07T09:50:00+05:30,46277.75,46269.300781,46481.74963,45257.751849,46073.75037,45869.75074,45665.751109,45461.751479,45257.751849,135.999753,203.99963,46422.727464,46435.065162,46421.674107,43.4455,14.938878,53.173737,37.3014,0.0,0.0,0.0,85.71,STRONG BEAR,21,971655.32,4566.43,5.0,0,6,2026-04-07T10:15:00+05:30,46486.74963,STOP_LOSS,-4566.43,599.1,-5165.53,-0.5316,-1.1312
WORST,6,5,derivatives,CNXAUTO,2026-04-15,BUY,BUY,LONG,2026-04-15T09:15:00+05:30,2026-04-15T09:20:00+05:30,26498.5,26502.099609,26387.331596,27054.342022,26609.668404,26720.836809,26832.005213,26943.173617,27054.342022,74.11227,111.168404,26177.711781,26147.725939,26500.30013,78.3849,18.231658,-3.894637,23.3329,0.0,0.0,57.14,14.29,STRONG BULL,37,980577.69,4431.42,5.0,0,3,2026-04-15T09:30:00+05:30,26382.331596,STOP_LOSS,-4431.42,599.45,-5030.87,-0.5131,-1.1353
WORST,7,5,derivatives,CNXIT,2026-04-08,SELL,SELL,SHORT,2026-04-08T10:15:00+05:30,2026-04-08T10:20:00+05:30,31329.400391,31326.400391,31461.852176,30667.141463,31196.948605,31064.49682,30932.045034,30799.593249,30667.141463,88.30119,132.451785,31384.904798,31387.398065,31438.203926,45.4056,8.492006,23.175508,27.3088,0.0,0.0,0.0,85.71,STRONG BEAR,31,971118.41,4354.01,5.0,0,6,2026-04-08T10:45:00+05:30,31466.852176,STOP_LOSS,-4354.01,598.69,-4952.7,-0.51,-1.1375
WORST,8,5,derivatives,NSEI,2026-04-06,SELL,SELL,SHORT,2026-04-06T09:55:00+05:30,2026-04-06T10:00:00+05:30,22569.300781,22564.099609,22656.921432,22131.197529,22481.680131,22394.059481,22306.43883,22218.81818,22131.197529,58.413767,87.62065,22621.101019,22623.512493,22638.75,44.909,16.357614,40.233307,26.3344,0.0,0.0,0.0,85.71,STRONG BEAR,44,992820.38,4304.16,5.0,0,4,2026-04-06T10:15:00+05:30,22661.921432,STOP_LOSS,-4304.16,610.94,-4915.1,-0.4951,-1.1419
WORST,9,5,derivatives,CNXIT,2026-04-17,SELL,SELL,SHORT,2026-04-17T09:40:00+05:30,2026-04-17T09:45:00+05:30,31633.25,31629.5,31761.841462,30990.292689,31504.658538,31376.067075,31247.475613,31118.884151,30990.292689,85.727642,128.591462,31749.453343,31762.804235,31754.402886,35.5518,-1.420129,18.595838,32.7477,0.0,0.0,0.0,85.71,STRONG BEAR,31,980514.5,4257.59,5.0,0,5,2026-04-17T10:05:00+05:30,31766.841462,STOP_LOSS,-4257.59,603.95,-4861.54,-0.4958,-1.1419
