trade_number,exit_time,session_date,market,instrument,net_pnl,equity,drawdown,drawdown_pct
1,2026-04-01T12:00:00+05:30,2026-04-01,derivatives,CNXIT,-4451.97,995548.03,-4451.97,-0.4452
2,2026-04-01T12:15:00+05:30,2026-04-01,derivatives,CNXFMCG,-2581.43,992966.6,-7033.4,-0.7033
3,2026-04-01T12:20:00+05:30,2026-04-01,derivatives,CNXIT,-4242.95,988723.65,-11276.35,-1.1276
4,2026-04-01T12:35:00+05:30,2026-04-01,derivatives,CNXAUTO,14.31,988737.96,-11262.04,-1.1262
5,2026-04-01T13:00:00+05:30,2026-04-01,derivatives,NSEBANK,5444.21,994182.17,-5817.83,-0.5818
6,2026-04-01T13:20:00+05:30,2026-04-01,derivatives,NSEI,-3211.85,990970.32,-9029.68,-0.903
7,2026-04-01T13:30:00+05:30,2026-04-01,derivatives,CNXIT,5228.16,996198.48,-3801.52,-0.3802
8,2026-04-01T13:35:00+05:30,2026-04-01,derivatives,CNXFMCG,-3500.28,992698.2,-7301.8,-0.7302
9,2026-04-01T13:40:00+05:30,2026-04-01,derivatives,CNXAUTO,-3959.65,988738.55,-11261.45,-1.1261
10,2026-04-01T13:40:00+05:30,2026-04-01,derivatives,NSEI,3061.35,991799.9,-8200.1,-0.82
11,2026-04-01T14:10:00+05:30,2026-04-01,derivatives,CNXFMCG,-3345.09,988454.81,-11545.19,-1.1545
12,2026-04-01T14:10:00+05:30,2026-04-01,derivatives,NSEBANK,-4035.82,984418.99,-15581.01,-1.5581
13,2026-04-01T14:30:00+05:30,2026-04-01,derivatives,CNXAUTO,5905.94,990324.93,-9675.07,-0.9675
14,2026-04-01T14:35:00+05:30,2026-04-01,derivatives,NSEBANK,-2177.09,988147.84,-11852.16,-1.1852
15,2026-04-01T15:20:00+05:30,2026-04-01,derivatives,NSEBANK,2640.2,990788.04,-9211.96,-0.9212
16,2026-04-02T12:55:00+05:30,2026-04-02,derivatives,CNXAUTO,4940.14,995728.18,-4271.82,-0.4272
17,2026-04-02T13:00:00+05:30,2026-04-02,derivatives,CNXIT,7083.93,1002812.11,0.0,0.0
18,2026-04-02T13:00:00+05:30,2026-04-02,derivatives,NSEI,2878.22,1005690.33,0.0,0.0
19,2026-04-02T13:25:00+05:30,2026-04-02,derivatives,CNXFMCG,3776.28,1009466.61,0.0,0.0
20,2026-04-02T13:25:00+05:30,2026-04-02,derivatives,NSEBANK,4303.62,1013770.23,0.0,0.0
21,2026-04-06T10:15:00+05:30,2026-04-06,derivatives,NSEI,-4915.1,1008855.13,-4915.1,-0.4848
22,2026-04-06T11:05:00+05:30,2026-04-06,derivatives,NSEI,-3214.1,1005641.03,-8129.2,-0.8019
23,2026-04-06T11:45:00+05:30,2026-04-06,derivatives,NSEI,-4245.95,1001395.08,-12375.15,-1.2207
24,2026-04-06T11:50:00+05:30,2026-04-06,derivatives,CNXAUTO,-5317.33,996077.75,-17692.48,-1.7452
25,2026-04-06T12:40:00+05:30,2026-04-06,derivatives,CNXFMCG,-2321.42,993756.33,-20013.9,-1.9742
26,2026-04-06T12:50:00+05:30,2026-04-06,derivatives,NSEI,4698.02,998454.35,-15315.88,-1.5108
