date,trades,wins,losses,gross_pnl,costs,net_pnl,day_return_pct,ending_equity,drawdown,drawdown_pct
2026-03-30,13,7,6,1896.23,0.0,1896.23,1.8962,101896.23,0.0,0.0
2026-03-31,13,5,8,-2233.54,0.0,-2233.54,-2.192,99662.69,-2233.54,-2.192
2026-04-01,54,24,30,-3589.47,0.0,-3589.47,-3.6016,96073.22,-5823.01,-5.7146
2026-04-02,36,16,20,-1198.47,0.0,-1198.47,-1.2475,94874.75,-7021.48,-6.8908
2026-04-06,56,34,22,5929.11,0.0,5929.11,6.2494,100803.86,-1092.37,-1.072
2026-04-07,76,45,31,5937.8,0.0,5937.8,5.8904,106741.66,0.0,0.0
2026-04-08,48,32,16,3813.88,0.0,3813.88,3.573,110555.54,0.0,0.0
2026-04-09,56,26,30,-3150.2,0.0,-3150.2,-2.8494,107405.34,-3150.2,-2.8494
2026-04-10,73,37,36,-69.39,0.0,-69.39,-0.0646,107335.95,-3219.59,-2.9122
2026-04-13,54,26,28,4384.86,0.0,4384.86,4.0852,111720.81,0.0,0.0
2026-04-14,9,7,2,1331.58,0.0,1331.58,1.1919,113052.39,0.0,0.0
2026-04-15,70,37,33,-2166.63,0.0,-2166.63,-1.9165,110885.76,-2166.63,-1.9165
2026-04-16,66,26,40,-3379.86,0.0,-3379.86,-3.0481,107505.9,-5546.49,-4.9061
2026-04-17,69,40,29,2172.99,0.0,2172.99,2.0213,109678.89,-3373.5,-2.984
2026-04-20,25,14,11,2460.98,0.0,2460.98,2.2438,112139.87,-912.52,-0.8072
2026-04-21,52,20,32,-5437.52,0.0,-5437.52,-4.8489,106702.35,-6350.04,-5.6169
2026-04-22,63,31,32,-3994.96,0.0,-3994.96,-3.744,102707.39,-10345.0,-9.1506
2026-04-23,66,36,30,3462.27,0.0,3462.27,3.371,106169.66,-6882.73,-6.0881
2026-04-24,52,24,28,-1391.47,0.0,-1391.47,-1.3106,104778.19,-8274.2,-7.3189
2026-04-27,59,35,24,2595.58,0.0,2595.58,2.4772,107373.77,-5678.62,-5.023
2026-04-28,54,26,28,1202.57,0.0,1202.57,1.12,108576.34,-4476.05,-3.9593
2026-04-29,20,7,13,-2322.91,0.0,-2322.91,-2.1394,106253.43,-6798.96,-6.014
