rank_type,rank,target_level,market,instrument,session_date,signal,original_signal,direction,signal_time,entry_time,pine_entry_price,entry_price,stop_price,target_price,tp1,tp2,tp3,tp4,tp5,atr,risk_per_unit_reference,ema_fast,ema_slow,vwap,rsi,macd,macd_signal,adx,volume,volume_sma,bull_score_pct,bear_score_pct,bias,quantity,notional,position_risk_amount,slippage_points,max_target_hit,holding_candles,exit_time,exit_price,exit_reason,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple
BEST,1,1,commodities,CLF,2026-04-08,INVERSE_SELL,SELL,LONG,2026-04-08T14:00:00-04:00,2026-04-08T14:05:00-04:00,94.360001,94.309998,93.462819,95.257182,95.257182,96.154364,97.051546,97.948728,98.845909,0.598121,0.897182,95.05744,95.150217,94.644368,39.5555,-0.206495,-0.262584,17.2764,4967.0,2746.65,14.29,71.43,STRONG BEAR,10603,999968.9,8982.64,0.0,1,4,2026-04-08T14:20:00-04:00,95.257182,TP1,10043.0,0.0,10043.0,1.0043,1.118
BEST,2,1,commodities,CLF,2026-04-13,INVERSE_BUY,BUY,SHORT,2026-04-13T09:15:00-04:00,2026-04-13T09:20:00-04:00,103.589996,103.580002,105.037753,102.142239,102.142239,100.694482,99.246725,97.798968,96.351211,0.965171,1.447757,97.596425,97.314625,103.589999,82.8133,0.005542,-0.461402,41.2565,1431.0,2922.65,71.43,14.29,STRONG BULL,6859,710455.23,9998.72,0.0,1,6,2026-04-13T09:45:00-04:00,102.142239,TP1,9861.61,0.0,9861.61,1.3881,0.9863
BEST,3,1,commodities,CLF,2026-03-31,INVERSE_SELL,SELL,LONG,2026-03-31T12:40:00-04:00,2026-03-31T12:45:00-04:00,101.5,101.529999,100.382994,102.617006,102.617006,103.734013,104.851019,105.968025,107.085032,0.744671,1.117006,103.74779,103.946002,103.281078,25.889,-0.037357,0.231848,22.6793,27139.0,4135.35,0.0,85.71,STRONG BEAR,8718,885138.53,9999.59,0.0,1,1,2026-03-31T12:45:00-04:00,102.617006,TP1,9476.53,0.0,9476.53,1.0706,0.9477
BEST,4,1,commodities,CLF,2026-04-24,INVERSE_SELL,SELL,LONG,2026-04-24T09:15:00-04:00,2026-04-24T09:20:00-04:00,94.669998,94.699997,93.730224,95.609772,95.609772,96.549546,97.48932,98.429094,99.368868,0.626516,0.939774,95.925928,95.973522,94.87,36.6801,0.066249,0.213125,19.8737,2268.0,3347.95,0.0,71.43,STRONG BEAR,10311,976451.67,9999.33,0.0,1,22,2026-04-24T11:05:00-04:00,95.609772,TP1,9380.69,0.0,9380.69,0.9607,0.9381
BEST,5,1,commodities,CLF,2026-04-06,INVERSE_SELL,SELL,LONG,2026-04-06T10:20:00-04:00,2026-04-06T10:25:00-04:00,110.949997,110.949997,109.976544,111.92345,111.92345,112.896902,113.870355,114.843808,115.81726,0.648968,0.973453,111.72238,111.792343,112.10538,39.9699,0.040678,0.205255,16.6209,2283.0,1823.6,14.29,71.43,STRONG BEAR,9013,999992.32,8773.73,0.0,1,3,2026-04-06T10:35:00-04:00,111.92345,TP1,8773.73,0.0,8773.73,0.8774,1.0
BEST,6,1,commodities,CLF,2026-04-08,INVERSE_BUY,BUY,SHORT,2026-04-08T13:55:00-04:00,2026-04-08T14:00:00-04:00,95.32,95.309998,96.165041,94.474958,94.474958,93.629917,92.784875,91.939834,91.094792,0.563361,0.845042,95.231799,95.229239,94.643502,49.08,-0.150098,-0.276607,17.3417,1930.0,2580.1,42.86,28.57,MILD BULL,10492,999992.49,8971.12,0.0,1,1,2026-04-08T14:00:00-04:00,94.474958,TP1,8761.24,0.0,8761.24,0.8761,0.9766
BEST,7,1,commodities,CLF,2026-04-28,INVERSE_BUY,BUY,SHORT,2026-04-28T09:15:00-04:00,2026-04-28T09:20:00-04:00,100.080002,100.089996,100.889152,99.270852,99.270852,98.461702,97.652551,96.843401,96.034251,0.539433,0.80915,97.15352,96.82694,100.160001,82.4062,0.235019,0.029464,16.397,1996.0,1151.35,57.14,28.57,MILD BULL,9991,999999.15,7984.36,0.0,1,2,2026-04-28T09:25:00-04:00,99.270852,TP1,8184.07,0.0,8184.07,0.8184,1.025
BEST,8,1,commodities,CLF,2026-04-07,INVERSE_BUY,BUY,SHORT,2026-04-07T14:55:00-04:00,2026-04-07T15:00:00-04:00,115.120003,115.099998,116.035433,114.204573,114.204573,113.289142,112.373712,111.458282,110.542852,0.610287,0.91543,114.285081,114.232307,115.065125,59.6118,-0.099177,-0.327968,26.6474,1964.0,3382.7,85.71,0.0,STRONG BULL,8688,999988.79,8127.05,0.0,3,4,2026-04-07T15:15:00-04:00,114.204573,TP1,7779.46,0.0,7779.46,0.778,0.9572
BEST,9,1,commodities,CLF,2026-04-10,INVERSE_SELL,SELL,LONG,2026-04-10T10:20:00-04:00,2026-04-10T10:25:00-04:00,97.57,97.57,96.823244,98.316755,98.316755,99.063511,99.810267,100.557023,101.303778,0.497837,0.746756,98.060367,98.110425,98.223927,41.8138,0.018069,0.132344,16.6204,1474.0,1576.1,0.0,71.43,STRONG BEAR,10249,999994.93,7653.5,0.0,1,4,2026-04-10T10:40:00-04:00,98.316755,TP1,7653.5,0.0,7653.5,0.7654,1.0
BEST,10,1,commodities,SIF,2026-04-02,INVERSE_SELL,SELL,LONG,2026-04-02T11:20:00-04:00,2026-04-02T11:25:00-04:00,72.120003,72.110001,71.460105,72.779901,72.779901,73.439799,74.099697,74.759595,75.419493,0.439932,0.659898,72.433235,72.474236,71.749036,42.848,-0.177265,-0.311231,18.7691,420.0,476.7,28.57,42.86,MILD BEAR,13867,999949.38,9012.11,0.0,0,19,2026-04-02T12:55:00-04:00,72.644997,OPPOSITE_SIGNAL,7418.78,0.0,7418.78,0.7419,0.8232
WORST,1,1,commodities,CLF,2026-04-22,INVERSE_BUY,BUY,SHORT,2026-04-22T09:20:00-04:00,2026-04-22T09:25:00-04:00,91.110001,91.089996,92.328677,89.891324,89.891324,88.672648,87.453972,86.235296,85.01662,0.812451,1.218676,89.607165,89.5184,91.130642,65.4128,-0.004413,-0.180805,30.6848,4283.0,3932.3,85.71,14.29,STRONG BULL,8073,735369.54,9999.87,0.0,0,18,2026-04-22T10:50:00-04:00,92.328677,STOP_LOSS,-9999.87,0.0,-9999.87,-1.3598,-1.0
WORST,2,1,commodities,CLF,2026-04-09,INVERSE_SELL,SELL,LONG,2026-04-09T11:45:00-04:00,2026-04-09T11:50:00-04:00,99.629997,99.639999,98.37196,100.888035,100.888035,102.146073,103.40411,104.662148,105.920186,0.838692,1.258038,100.631546,100.691839,100.883093,43.0709,0.293352,0.750767,37.2903,4809.0,4133.0,0.0,100.0,STRONG BEAR,7886,785761.04,9999.76,0.0,0,3,2026-04-09T12:00:00-04:00,98.37196,STOP_LOSS,-9999.76,0.0,-9999.76,-1.2726,-1.0
