market,instrument,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,CLF,70,36,34,51.43,-17093.85,-244.2,19791.78,-9999.87,0.9245
commodities,GCF,59,29,30,49.15,-14395.54,-243.99,4751.11,-5452.76,0.7971
commodities,HGF,53,24,29,45.28,-6670.07,-125.85,5904.96,-3117.76,0.8643
commodities,NGF,71,41,30,57.75,78349.21,1103.51,11685.79,-7059.64,1.6142
commodities,SIF,68,39,29,57.35,59339.17,872.63,11068.51,-8253.45,1.5476
derivatives,CNXAUTO,43,17,26,39.53,-10402.9,-241.93,8709.56,-4604.19,0.8349
derivatives,CNXFMCG,56,28,28,50.0,21682.33,387.18,7648.34,-4018.86,1.4235
derivatives,CNXIT,53,28,25,52.83,5993.2,113.08,6276.57,-5578.19,1.0877
derivatives,NSEBANK,50,32,18,64.0,13876.06,277.52,9719.35,-4307.31,1.3284
derivatives,NSEI,49,24,25,48.98,8450.81,172.47,7399.44,-2864.83,1.2108
equity,BHARTIARTL_NS,57,32,25,56.14,24525.27,430.27,7156.79,-4661.18,1.3686
equity,HDFCBANK_NS,46,23,23,50.0,-13205.24,-287.07,6976.19,-5728.51,0.8207
equity,ICICIBANK_NS,52,33,19,63.46,16302.3,313.51,9500.38,-5621.48,1.2563
equity,INFY_NS,53,29,24,54.72,13468.76,254.13,6322.16,-6402.99,1.1566
equity,ITC_NS,57,30,27,52.63,5445.07,95.53,8405.55,-3809.03,1.1018
equity,KOTAKBANK_NS,41,13,28,31.71,-43071.3,-1050.52,7415.22,-4725.98,0.4799
equity,LT_NS,58,29,29,50.0,-12770.57,-220.18,12896.78,-5976.29,0.8579
equity,RELIANCE_NS,55,25,30,45.45,-28562.14,-519.31,3465.0,-6108.46,0.6553
equity,SBIN_NS,49,23,26,46.94,-18048.15,-368.33,6574.78,-5883.29,0.7763
equity,TCS_NS,44,21,23,47.73,-12385.06,-281.48,7036.71,-6312.9,0.8251
