market,instrument,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,CLF,70,32,38,45.71,1623.66,23.2,1037.66,-999.28,1.0832
commodities,GCF,59,27,32,45.76,1098.17,18.61,540.13,-332.12,1.2092
commodities,HGF,53,26,27,49.06,-775.3,-14.63,311.76,-571.97,0.8464
commodities,NGF,71,25,46,35.21,-6764.38,-95.27,705.96,-741.05,0.619
commodities,SIF,68,28,40,41.18,-4752.18,-69.89,825.28,-741.5,0.6861
derivatives,CNXAUTO,43,24,19,55.81,1301.04,30.26,460.42,-419.5,1.3526
derivatives,CNXFMCG,56,28,28,50.0,-220.24,-3.93,382.75,-414.9,0.951
derivatives,CNXIT,53,24,29,45.28,84.72,1.6,522.96,-391.36,1.0141
derivatives,NSEBANK,50,18,32,36.0,-326.34,-6.53,226.7,-270.18,0.8791
derivatives,NSEI,49,24,25,48.98,-362.75,-7.4,266.49,-351.29,0.9113
equity,BHARTIARTL_NS,56,22,34,39.29,-1634.35,-29.18,460.26,-509.61,0.7879
equity,HDFCBANK_NS,45,22,23,48.89,634.39,14.1,568.69,-522.04,1.1023
equity,ICICIBANK_NS,51,17,34,33.33,-924.64,-18.13,559.82,-498.0,0.8606
equity,INFY_NS,53,21,32,39.62,-2702.66,-50.99,636.95,-582.26,0.7337
equity,ITC_NS,57,24,33,42.11,-420.2,-7.37,380.01,-419.08,0.9221
equity,KOTAKBANK_NS,41,26,15,63.41,3453.06,84.22,472.26,-692.99,1.823
equity,LT_NS,58,25,33,43.1,46.1,0.79,583.05,-644.93,1.006
equity,RELIANCE_NS,55,26,29,47.27,870.38,15.83,605.93,-543.99,1.1349
equity,SBIN_NS,49,25,24,51.02,2123.47,43.34,584.16,-575.92,1.376
equity,TCS_NS,44,22,22,50.0,1107.43,25.17,628.07,-468.11,1.1998
