date,trades,wins,losses,gross_pnl,costs,net_pnl,day_return_pct,ending_equity,drawdown,drawdown_pct
2026-03-30,13,4,9,-977.09,0.0,-977.09,-0.9771,99022.91,-977.09,-0.9771
2026-03-31,13,2,11,-80.18,0.0,-80.18,-0.081,98942.73,-1057.27,-1.0573
2026-04-01,54,21,33,1931.15,0.0,1931.15,1.9518,100873.88,0.0,0.0
2026-04-02,36,17,19,15028.98,0.0,15028.98,14.8988,115902.86,0.0,0.0
2026-04-06,56,17,39,664.09,0.0,664.09,0.573,116566.95,0.0,0.0
2026-04-07,76,21,55,645.99,0.0,645.99,0.5542,117212.94,0.0,0.0
2026-04-08,48,15,33,-414.48,0.0,-414.48,-0.3536,116798.46,-414.48,-0.3536
2026-04-09,56,21,35,5707.19,0.0,5707.19,4.8864,122505.65,0.0,0.0
2026-04-10,73,23,50,155.01,0.0,155.01,0.1265,122660.66,0.0,0.0
2026-04-13,54,19,35,5195.09,0.0,5195.09,4.2353,127855.75,0.0,0.0
2026-04-14,9,2,7,-535.05,0.0,-535.05,-0.4185,127320.7,-535.05,-0.4185
2026-04-15,70,20,50,-4145.05,0.0,-4145.05,-3.2556,123175.65,-4680.1,-3.6605
2026-04-16,66,25,41,1133.55,0.0,1133.55,0.9203,124309.2,-3546.55,-2.7739
2026-04-17,69,20,49,-1029.89,0.0,-1029.89,-0.8285,123279.31,-4576.44,-3.5794
2026-04-20,25,5,20,-4965.05,0.0,-4965.05,-4.0275,118314.26,-9541.49,-7.4627
2026-04-21,49,14,35,2198.74,0.0,2198.74,1.8584,120513.0,-7342.75,-5.743
2026-04-22,63,23,40,6627.6,0.0,6627.6,5.4995,127140.6,-715.15,-0.5593
2026-04-23,66,14,52,-279.6,0.0,-279.6,-0.2199,126861.0,-994.75,-0.778
2026-04-24,52,17,35,-2629.02,0.0,-2629.02,-2.0724,124231.98,-3623.77,-2.8343
2026-04-27,59,18,41,876.84,0.0,876.84,0.7058,125108.82,-2746.93,-2.1485
2026-04-28,54,17,37,107.73,0.0,107.73,0.0861,125216.55,-2639.2,-2.0642
2026-04-29,20,11,9,5982.52,0.0,5982.52,4.7777,131199.07,0.0,0.0
