trade_number,exit_time,session_date,market,instrument,net_pnl,equity,drawdown,drawdown_pct
1,2026-03-30T11:50:00-04:00,2026-03-30,commodities,CLF,-6378.87,993621.13,-6378.87,-0.6379
2,2026-03-30T12:20:00-04:00,2026-03-30,commodities,NGF,-4528.47,989092.66,-10907.34,-1.0907
3,2026-03-30T12:25:00-04:00,2026-03-30,commodities,SIF,-4426.1,984666.56,-15333.44,-1.5333
4,2026-03-30T12:30:00-04:00,2026-03-30,commodities,GCF,-3447.73,981218.83,-18781.17,-1.8781
5,2026-03-30T13:00:00-04:00,2026-03-30,commodities,HGF,-2411.9,978806.93,-21193.07,-2.1193
6,2026-03-30T13:35:00-04:00,2026-03-30,commodities,NGF,-4673.66,974133.27,-25866.73,-2.5867
7,2026-03-30T14:00:00-04:00,2026-03-30,commodities,NGF,-4395.44,969737.83,-30262.17,-3.0262
8,2026-03-30T14:20:00-04:00,2026-03-30,commodities,CLF,-5050.21,964687.62,-35312.38,-3.5312
9,2026-03-30T14:30:00-04:00,2026-03-30,commodities,CLF,-5741.44,958946.18,-41053.82,-4.1054
10,2026-03-30T15:20:00-04:00,2026-03-30,commodities,CLF,7072.2,966018.38,-33981.62,-3.3982
11,2026-03-30T15:20:00-04:00,2026-03-30,commodities,GCF,7511.76,973530.14,-26469.86,-2.647
12,2026-03-30T15:20:00-04:00,2026-03-30,commodities,HGF,3545.76,977075.9,-22924.1,-2.2924
13,2026-03-30T15:20:00-04:00,2026-03-30,commodities,SIF,13337.72,990413.62,-9586.38,-0.9586
14,2026-03-31T09:30:00-04:00,2026-03-31,commodities,HGF,-2934.02,987479.6,-12520.4,-1.252
15,2026-03-31T10:40:00-04:00,2026-03-31,commodities,CLF,-6175.58,981304.02,-18695.98,-1.8696
16,2026-03-31T12:30:00-04:00,2026-03-31,commodities,NGF,-5864.62,975439.4,-24560.6,-2.4561
17,2026-03-31T12:35:00-04:00,2026-03-31,commodities,CLF,-7518.54,967920.86,-32079.14,-3.2079
18,2026-03-31T12:35:00-04:00,2026-03-31,commodities,NGF,-5399.81,962521.05,-37478.95,-3.7479
19,2026-03-31T12:45:00-04:00,2026-03-31,commodities,CLF,-9999.38,952521.67,-47478.33,-4.7478
20,2026-03-31T14:10:00-04:00,2026-03-31,commodities,NGF,-4842.6,947679.07,-52320.93,-5.2321
21,2026-03-31T14:15:00-04:00,2026-03-31,commodities,NGF,-4130.85,943548.22,-56451.78,-5.6452
22,2026-03-31T15:20:00-04:00,2026-03-31,commodities,CLF,-972.85,942575.37,-57424.63,-5.7425
23,2026-03-31T15:20:00-04:00,2026-03-31,commodities,GCF,19936.76,962512.13,-37487.87,-3.7488
24,2026-03-31T15:20:00-04:00,2026-03-31,commodities,NGF,-1728.31,960783.82,-39216.18,-3.9216
25,2026-03-31T15:20:00-04:00,2026-03-31,commodities,NGF,0.0,960783.82,-39216.18,-3.9216
26,2026-03-31T15:20:00-04:00,2026-03-31,commodities,SIF,29371.17,990154.99,-9845.01,-0.9845
27,2026-04-01T10:20:00-04:00,2026-04-01,commodities,SIF,-5531.62,984623.37,-15376.63,-1.5377
28,2026-04-01T10:55:00-04:00,2026-04-01,commodities,HGF,-2560.52,982062.85,-17937.15,-1.7937
29,2026-04-01T11:10:00+05:30,2026-04-01,equity,RELIANCE_NS,-2187.0,979875.85,-20124.15,-2.0124
30,2026-04-01T11:35:00-04:00,2026-04-01,commodities,CLF,5125.69,985001.54,-14998.46,-1.4998
31,2026-04-01T11:50:00+05:30,2026-04-01,equity,HDFCBANK_NS,-4269.19,980732.35,-19267.65,-1.9268
32,2026-04-01T12:00:00+05:30,2026-04-01,derivatives,CNXIT,-3512.97,977219.38,-22780.62,-2.2781
33,2026-04-01T12:00:00+05:30,2026-04-01,equity,HDFCBANK_NS,-4270.83,972948.55,-27051.45,-2.7051
34,2026-04-01T12:00:00+05:30,2026-04-01,equity,INFY_NS,-4346.66,968601.89,-31398.11,-3.1398
35,2026-04-01T12:10:00+05:30,2026-04-01,equity,TCS_NS,-1550.42,967051.47,-32948.53,-3.2949
36,2026-04-01T12:15:00+05:30,2026-04-01,derivatives,CNXFMCG,-1774.5,965276.97,-34723.03,-3.4723
37,2026-04-01T12:20:00+05:30,2026-04-01,derivatives,CNXIT,-3305.53,961971.44,-38028.56,-3.8029
38,2026-04-01T12:20:00+05:30,2026-04-01,equity,INFY_NS,-3699.75,958271.69,-41728.31,-4.1728
39,2026-04-01T12:20:00+05:30,2026-04-01,equity,TCS_NS,-1224.0,957047.69,-42952.31,-4.2952
40,2026-04-01T12:35:00+05:30,2026-04-01,derivatives,CNXAUTO,1014.06,958061.75,-41938.25,-4.1938
41,2026-04-01T12:35:00+05:30,2026-04-01,equity,ICICIBANK_NS,-902.08,957159.67,-42840.33,-4.284
42,2026-04-01T12:50:00+05:30,2026-04-01,equity,ICICIBANK_NS,-1968.02,955191.65,-44808.35,-4.4808
43,2026-04-01T13:10:00-04:00,2026-04-01,commodities,CLF,-4910.76,950280.89,-49719.11,-4.9719
44,2026-04-01T13:15:00+05:30,2026-04-01,equity,SBIN_NS,22439.19,972720.08,-27279.92,-2.728
45,2026-04-01T13:20:00+05:30,2026-04-01,derivatives,NSEI,-2180.03,970540.05,-29459.95,-2.946
46,2026-04-01T13:25:00+05:30,2026-04-01,equity,RELIANCE_NS,-727.0,969813.05,-30186.95,-3.0187
47,2026-04-01T13:30:00+05:30,2026-04-01,equity,KOTAKBANK_NS,-3603.78,966209.27,-33790.73,-3.3791
