date,trades,wins,losses,gross_pnl,costs,net_pnl,day_return_pct,ending_equity,drawdown,drawdown_pct
2026-03-30,13,7,6,1491.1,775.55,715.57,0.7156,100715.57,0.0,0.0
2026-03-31,13,5,8,-2526.37,760.51,-3286.9,-3.2635,97428.67,-3286.9,-3.2635
2026-04-01,54,23,31,-5493.15,3054.48,-8547.66,-8.7732,88881.01,-11834.56,-11.7505
2026-04-02,36,15,21,-2596.66,2097.96,-4694.63,-5.2819,84186.38,-16529.19,-16.4118
2026-04-06,56,33,23,3723.0,3308.2,414.81,0.4927,84601.19,-16114.38,-15.9999
2026-04-07,76,43,33,4309.22,4301.66,7.54,0.0089,84608.73,-16106.84,-15.9924
2026-04-08,48,25,23,1914.55,2820.77,-906.31,-1.0712,83702.42,-17013.15,-16.8923
2026-04-09,56,21,35,-5335.12,3188.37,-8523.48,-10.1831,75178.94,-25536.63,-25.3552
2026-04-10,73,30,43,-2949.44,4218.89,-7168.34,-9.535,68010.6,-32704.97,-32.4726
2026-04-13,54,21,33,4121.95,3039.58,1082.37,1.5915,69092.97,-31622.6,-31.3979
2026-04-14,9,4,5,1109.79,539.69,570.11,0.8251,69663.08,-31052.49,-30.8319
2026-04-15,70,30,40,-5780.61,3863.55,-9644.15,-13.844,60018.93,-40696.64,-40.4075
2026-04-16,66,20,46,-5329.19,3790.87,-9120.06,-15.1953,50898.87,-49816.7,-49.4628
2026-04-17,69,31,38,-382.45,3928.62,-4311.14,-8.47,46587.73,-54127.84,-53.7433
2026-04-20,25,12,13,1467.11,1490.72,-23.58,-0.0506,46564.15,-54151.42,-53.7667
2026-04-21,52,13,39,-6857.47,3003.07,-9860.48,-21.1761,36703.67,-64011.9,-63.5571
2026-04-22,63,22,41,-6274.88,3442.99,-9717.84,-26.4765,26985.83,-73729.74,-73.2059
2026-04-23,66,31,35,593.57,3740.89,-3147.3,-11.6628,23838.53,-76877.04,-76.3308
2026-04-24,52,20,32,-3224.2,2866.26,-6090.45,-25.5488,17748.08,-82967.49,-82.378
2026-04-27,59,30,29,472.59,3353.07,-2880.49,-16.2299,14867.59,-85847.98,-85.238
2026-04-28,54,19,35,-857.63,2984.41,-3842.06,-25.8418,11025.53,-89690.04,-89.0528
2026-04-29,20,3,17,-3060.36,1106.18,-4166.55,-37.79,6858.98,-93856.59,-93.1898
