target_level,market,instrument,session_date,signal,original_signal,direction,signal_time,entry_time,pine_entry_price,entry_price,stop_price,target_price,tp1,tp2,tp3,tp4,tp5,atr,risk_per_unit_reference,ema_fast,ema_slow,vwap,rsi,macd,macd_signal,adx,volume,volume_sma,bull_score_pct,bear_score_pct,bias,quantity,notional,position_risk_amount,max_target_hit,holding_candles,exit_time,exit_price,exit_reason,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple
2,commodities,CLF,2026-03-30,INVERSE_SELL,SELL,LONG,2026-03-30T11:40:00-04:00,2026-03-30T11:45:00-04:00,101.529999,101.560309,100.872264,102.845469,102.187734,102.845469,103.503204,104.160939,104.818674,0.43849,0.657735,102.075535,102.096368,102.124457,42.1444,0.021893,0.084693,13.0405,2423.0,2776.1,0.0,71.43,STRONG BEAR,984,99935.34,696.89,2,3,2026-03-30T11:55:00-04:00,102.8249,TP2,1244.36,60.33,1184.02,1.1848,1.699
2,commodities,CLF,2026-03-30,INVERSE_BUY,BUY,SHORT,2026-03-30T11:55:00-04:00,2026-03-30T12:00:00-04:00,102.970001,102.939407,103.684498,101.541007,102.255504,101.541007,100.82651,100.112014,99.397517,0.476331,0.714497,102.264674,102.175761,102.152513,63.2034,0.088775,0.064525,12.7246,5153.0,2710.8,85.71,0.0,STRONG BULL,971,99954.16,743.62,0,2,2026-03-30T12:05:00-04:00,103.705235,STOP_LOSS,-743.62,60.2,-803.81,-0.8042,-1.0809
2,commodities,CLF,2026-03-30,INVERSE_SELL,SELL,LONG,2026-03-30T14:15:00-04:00,2026-03-30T14:20:00-04:00,102.440002,102.46049,101.851801,103.616405,103.028204,103.616405,104.204606,104.792807,105.381008,0.392134,0.588201,103.005304,103.061645,102.534855,39.0219,0.029376,0.152161,15.7692,4338.0,1958.7,0.0,85.71,STRONG BEAR,975,99898.98,613.33,1,7,2026-03-30T14:50:00-04:00,103.199357,OPPOSITE_SIGNAL,720.4,60.16,660.24,0.6609,1.0765
2,commodities,CLF,2026-03-30,INVERSE_BUY,BUY,SHORT,2026-03-30T14:45:00-04:00,2026-03-30T14:50:00-04:00,103.209999,103.199357,103.73748,102.155037,102.682518,102.155037,101.627556,101.100075,100.572594,0.351654,0.527481,103.082723,103.07171,102.570504,53.7527,0.037213,0.055731,12.1753,672.0,2381.1,57.14,14.29,STRONG BULL,968,99896.98,540.99,0,4,2026-03-30T15:05:00-04:00,103.758228,STOP_LOSS,-540.99,60.1,-601.09,-0.6017,-1.1111
2,commodities,CLF,2026-03-31,INVERSE_SELL,SELL,LONG,2026-03-31T09:45:00-04:00,2026-03-31T09:50:00-04:00,102.870003,102.900573,102.224661,104.160686,103.515344,104.160686,104.806027,105.451369,106.096711,0.430228,0.645342,103.34161,103.343828,103.296883,43.0639,0.04757,0.114881,15.3561,3404.0,2158.15,0.0,85.71,STRONG BEAR,971,99916.46,676.16,0,1,2026-03-31T09:50:00-04:00,102.204216,STOP_LOSS,-676.16,59.75,-735.91,-0.7365,-1.0884
2,commodities,CLF,2026-03-31,INVERSE_BUY,BUY,SHORT,2026-03-31T10:45:00-04:00,2026-03-31T10:50:00-04:00,104.019997,103.999193,104.802119,102.455752,103.237874,102.455752,101.67363,100.891508,100.109386,0.521415,0.782122,103.076168,103.016785,102.914606,63.6698,-0.001649,-0.11519,16.3498,4133.0,2767.6,85.71,0.0,STRONG BULL,961,99943.22,791.76,0,17,2026-03-31T12:10:00-04:00,104.823079,STOP_LOSS,-791.75,60.2,-851.96,-0.8524,-1.076
2,commodities,CLF,2026-03-31,INVERSE_SELL,SELL,LONG,2026-03-31T12:40:00-04:00,2026-03-31T12:45:00-04:00,101.5,101.550305,100.382994,103.734013,102.617006,103.734013,104.851019,105.968025,107.085032,0.744671,1.117006,103.74779,103.946002,103.281078,25.889,-0.037357,0.231848,22.6793,27139.0,4135.35,0.0,85.71,STRONG BEAR,842,85505.36,999.78,1,4,2026-03-31T13:00:00-04:00,100.362917,STOP_LOSS,-999.78,51.0,-1050.78,-1.2289,-1.051
2,commodities,CLF,2026-03-31,INVERSE_BUY,BUY,SHORT,2026-03-31T14:50:00-04:00,2026-03-31T14:55:00-04:00,102.379997,102.349529,103.520579,100.098833,101.239415,100.098833,98.958251,97.817669,96.677087,0.760388,1.140582,102.003632,101.98104,102.43766,53.0835,-0.101607,-0.263694,29.7253,789.0,4151.25,71.43,14.29,STRONG BULL,839,85871.25,999.88,0,6,2026-03-31T15:20:00-04:00,102.280454,SESSION_END,57.95,51.51,6.45,0.0075,0.0064
2,commodities,CLF,2026-04-01,INVERSE_SELL,SELL,LONG,2026-04-01T09:15:00-04:00,2026-04-01T09:20:00-04:00,100.300003,100.340064,99.226577,102.446854,101.373429,102.446854,103.52028,104.593706,105.667131,0.715617,1.073426,101.786871,101.924898,100.34667,34.6908,-0.142436,-0.091839,26.3343,2997.0,3181.75,0.0,85.71,STRONG BEAR,882,88499.94,999.6,0,4,2026-04-01T09:35:00-04:00,99.206732,STOP_LOSS,-999.6,52.8,-1052.4,-1.1892,-1.0528
2,commodities,CLF,2026-04-01,INVERSE_BUY,BUY,SHORT,2026-04-01T11:30:00-04:00,2026-04-01T11:35:00-04:00,99.790001,99.760043,100.665704,98.038594,98.914298,98.038594,97.162891,96.287188,95.411484,0.583802,0.875703,99.48776,99.48546,99.285569,52.6222,-0.175047,-0.39614,31.9326,2516.0,2742.85,85.71,0.0,STRONG BULL,1002,99959.56,927.65,0,8,2026-04-01T12:10:00-04:00,100.685837,STOP_LOSS,-927.65,60.25,-987.9,-0.9883,-1.0649
