rank_type,rank,target_level,market,instrument,session_date,signal,original_signal,direction,signal_time,entry_time,pine_entry_price,entry_price,stop_price,target_price,tp1,tp2,tp3,tp4,tp5,atr,risk_per_unit_reference,ema_fast,ema_slow,vwap,rsi,macd,macd_signal,adx,volume,volume_sma,bull_score_pct,bear_score_pct,bias,quantity,notional,position_risk_amount,slippage_points,max_target_hit,holding_candles,exit_time,exit_price,exit_reason,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple
BEST,1,4,equity,LT_NS,2026-04-13,INVERSE_SELL,SELL,LONG,2026-04-13T09:15:00+05:30,2026-04-13T09:20:00+05:30,3850.800049,3849.2,3826.802817,3946.788976,3874.797281,3898.794512,3922.791744,3946.788976,3970.786207,15.998154,23.997232,3935.319963,3943.795843,3847.700033,15.0746,-5.491912,0.51824,22.7728,0.0,53920.4,14.29,57.14,STRONG BEAR,25,96230.0,564.93,0.2,3,25,2026-04-13T11:20:00+05:30,3929.199902,OPPOSITE_SIGNAL,2000.0,50.0,1950.0,2.0264,3.4518
BEST,2,4,commodities,CLF,2026-04-07,INVERSE_BUY,BUY,SHORT,2026-04-07T14:55:00-04:00,2026-04-07T15:00:00-04:00,115.120003,114.899998,116.035433,111.458282,114.204573,113.289142,112.373712,111.458282,110.542852,0.610287,0.91543,114.285081,114.232307,115.065125,59.6118,-0.099177,-0.327968,26.6474,1964.0,3382.7,85.71,0.0,STRONG BULL,748,85945.2,998.9,0.2,3,5,2026-04-07T15:20:00-04:00,112.640002,OPPOSITE_SIGNAL,1690.48,50.0,1640.48,1.9087,1.6423
BEST,3,4,commodities,CLF,2026-04-13,INVERSE_BUY,BUY,SHORT,2026-04-13T09:15:00-04:00,2026-04-13T09:20:00-04:00,103.589996,103.380002,105.037753,97.798968,102.142239,100.694482,99.246725,97.798968,96.351211,0.965171,1.447757,97.596425,97.314625,103.589999,82.8133,0.005542,-0.461402,41.2565,1431.0,2922.65,71.43,14.29,STRONG BULL,538,55618.44,999.47,0.2,2,40,2026-04-13T12:35:00-04:00,101.159999,OPPOSITE_SIGNAL,1194.36,50.0,1144.36,2.0575,1.145
BEST,4,4,equity,ICICIBANK_NS,2026-04-13,INVERSE_SELL,SELL,LONG,2026-04-13T09:15:00+05:30,2026-04-13T09:20:00+05:30,1300.900024,1301.600024,1294.464884,1326.640587,1307.335165,1313.770306,1320.205446,1326.640587,1333.075728,4.290094,6.435141,1316.363433,1317.441645,1301.06665,25.7019,-0.630362,0.184781,20.6781,0.0,385984.75,0.0,71.43,STRONG BEAR,76,98921.6,557.47,0.2,2,16,2026-04-13T10:35:00+05:30,1315.700024,OPPOSITE_SIGNAL,1071.6,50.0,1021.6,1.0327,1.8326
BEST,5,4,derivatives,CNXAUTO,2026-04-07,INVERSE_SELL,SELL,LONG,2026-04-07T09:15:00+05:30,2026-04-07T09:20:00+05:30,23866.800781,23877.25,23757.862083,24302.555574,23975.739479,24084.678178,24193.616876,24302.555574,24411.494272,72.625799,108.938698,24239.07962,24259.435617,23973.166667,21.9406,-2.049972,27.300197,24.8888,0.0,0.0,0.0,71.43,STRONG BEAR,4,95509.0,497.55,5.0,2,29,2026-04-07T11:40:00+05:30,24124.949219,OPPOSITE_SIGNAL,990.8,50.0,940.8,0.985,1.8909
BEST,6,4,commodities,CLF,2026-03-30,INVERSE_SELL,SELL,LONG,2026-03-30T11:40:00-04:00,2026-03-30T11:45:00-04:00,101.529999,101.740001,100.872264,104.160939,102.187734,102.845469,103.503204,104.160939,104.818674,0.43849,0.657735,102.075535,102.096368,102.124457,42.1444,0.021893,0.084693,13.0405,2423.0,2776.1,0.0,71.43,STRONG BEAR,936,95228.64,999.4,0.2,2,4,2026-03-30T12:00:00-04:00,102.759999,OPPOSITE_SIGNAL,954.72,50.0,904.72,0.95,0.9053
BEST,7,4,commodities,SIF,2026-04-07,INVERSE_SELL,SELL,LONG,2026-04-07T14:55:00-04:00,2026-04-07T15:00:00-04:00,71.489998,71.714999,71.213866,72.594525,71.76613,72.042261,72.318393,72.594525,72.870657,0.184088,0.276132,71.932973,71.99113,71.326672,33.2737,0.005515,0.103127,25.5042,295.0,189.6,14.29,85.71,STRONG BEAR,1394,99970.71,977.38,0.2,4,5,2026-04-07T15:20:00-04:00,72.394525,TP4,947.26,50.0,897.26,0.8975,0.918
BEST,8,4,equity,BHARTIARTL_NS,2026-04-13,INVERSE_SELL,SELL,LONG,2026-04-13T09:15:00+05:30,2026-04-13T09:20:00+05:30,1845.800049,1848.2,1838.085668,1876.65757,1853.514429,1861.22881,1868.94319,1876.65757,1884.371951,5.14292,7.71438,1863.593584,1864.87327,1844.833374,25.0291,-0.929761,-0.11718,20.4246,0.0,127876.95,14.29,57.14,STRONG BEAR,54,99802.8,556.97,0.2,2,11,2026-04-13T10:10:00+05:30,1864.3,OPPOSITE_SIGNAL,869.4,50.0,819.4,0.821,1.4712
BEST,9,4,equity,HDFCBANK_NS,2026-04-16,INVERSE_BUY,BUY,SHORT,2026-04-16T09:15:00+05:30,2026-04-16T09:20:00+05:30,817.599976,817.500012,820.404374,806.382381,814.795577,811.991178,809.18678,806.382381,803.577983,1.869599,2.804399,811.799443,811.148182,816.983317,70.5648,0.616607,0.404748,25.1698,0.0,648129.4,85.71,0.0,STRONG BULL,122,99735.0,378.73,0.2,2,12,2026-04-16T10:15:00+05:30,810.7,OPPOSITE_SIGNAL,829.6,50.0,779.6,0.7817,2.0585
BEST,10,4,derivatives,CNXFMCG,2026-04-13,INVERSE_SELL,SELL,LONG,2026-04-13T09:15:00+05:30,2026-04-13T09:20:00+05:30,47304.050781,47300.949219,47125.998148,48016.261313,47482.103414,47660.156047,47838.20868,48016.261313,48194.313946,118.701755,178.052633,47993.747127,48058.307804,47410.949219,18.2368,-39.349814,8.32153,20.6709,0.0,0.0,0.0,71.43,STRONG BEAR,2,94601.9,359.9,5.0,2,24,2026-04-13T11:15:00+05:30,47691.398438,OPPOSITE_SIGNAL,780.9,50.0,730.9,0.7726,2.0308
WORST,1,4,commodities,HGF,2026-04-02,INVERSE_BUY,BUY,SHORT,2026-04-02T13:40:00-04:00,2026-04-02T13:45:00-04:00,5.592,5.3915,5.601503,5.553987,5.582497,5.572993,5.56349,5.553987,5.544484,0.006336,0.009503,5.588343,5.588006,5.585208,54.1664,-0.00047,-0.001588,11.7194,66.0,229.6,71.43,0.0,STRONG BULL,2439,13149.87,1000.0,0.2,0,17,2026-04-02T15:05:00-04:00,5.801503,STOP_LOSS,-1000.0,50.0,-1050.0,-7.9849,-1.05
WORST,2,4,commodities,NGF,2026-04-13,INVERSE_SELL,SELL,LONG,2026-04-13T10:55:00-04:00,2026-04-13T11:00:00-04:00,2.652,2.852,2.636892,2.712431,2.667108,2.682215,2.697323,2.712431,2.727538,0.010072,0.015108,2.66644,2.668202,2.676984,39.6903,0.0,0.002706,15.7305,1871.0,1320.95,0.0,85.71,STRONG BEAR,2409,6870.47,999.99,0.2,0,15,2026-04-13T12:10:00-04:00,2.436892,STOP_LOSS,-999.99,50.0,-1049.99,-15.2827,-1.05
