market,instrument,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,CLF,70,19,51,27.14,-30201.04,-431.44,1287.21,-1049.94,0.1851
commodities,GCF,59,24,35,40.68,-4840.62,-82.04,398.84,-598.53,0.4505
commodities,HGF,53,0,53,0.0,-54212.05,-1022.87,-923.83,-1050.0,0.0
commodities,NGF,71,0,71,0.0,-71757.96,-1010.68,-929.11,-1049.99,0.0
commodities,SIF,68,12,56,17.65,-32389.69,-476.32,485.03,-1049.87,0.0446
derivatives,CNXAUTO,43,12,31,27.91,-4543.28,-105.66,759.71,-550.42,0.4131
derivatives,CNXFMCG,56,23,33,41.07,-1780.75,-31.8,658.41,-452.75,0.7184
derivatives,CNXIT,53,24,29,45.28,-3665.53,-69.16,490.6,-602.96,0.5659
derivatives,NSEBANK,50,21,29,42.0,-2179.26,-43.59,479.96,-286.7,0.4096
derivatives,NSEI,49,16,33,32.65,-3662.22,-74.74,614.71,-356.49,0.4328
equity,BHARTIARTL_NS,57,31,26,54.39,-1614.25,-28.32,642.76,-532.26,0.8079
equity,HDFCBANK_NS,46,19,27,41.3,-5899.34,-128.25,597.68,-667.89,0.3981
equity,ICICIBANK_NS,52,27,25,51.92,-2526.62,-48.59,859.74,-638.62,0.6822
equity,INFY_NS,53,28,25,52.83,-2949.18,-55.64,550.6,-717.35,0.7196
equity,ITC_NS,57,12,45,21.05,-9810.91,-172.12,660.06,-567.93,0.1644
equity,KOTAKBANK_NS,41,8,33,19.51,-10751.61,-262.23,577.0,-633.46,0.1752
equity,LT_NS,58,26,32,44.83,-4767.64,-82.2,1184.86,-642.65,0.5523
equity,RELIANCE_NS,55,21,34,38.18,-7213.8,-131.16,265.7,-685.53,0.3284
equity,SBIN_NS,49,22,27,44.9,-6063.31,-123.74,567.83,-673.36,0.4154
equity,TCS_NS,44,21,23,47.73,-4135.98,-94.0,627.27,-693.67,0.5135
