timeframe,target_level,files_tested,sessions_tested,candles_tested,signals_tested,total_trades,gross_pnl_before_brokerage,brokerage_and_charges,net_pnl_after_brokerage,win_rate_pct,ending_equity,max_drawdown,max_drawdown_pct,profit_factor,sharpe_ratio
5m,1,21,411,29298,1213,1157,-2355947.91,3884859.65,-6240807.56,28.87,-5240807.56,-6240807.56,-624.0808,0.0957,-1.9733
5m,2,21,411,29298,1213,1157,-2238586.05,3884589.68,-6123175.73,20.92,-5123175.73,-6133351.55,-613.3352,0.1426,-2.2302
5m,3,21,411,29298,1213,1157,-2064858.52,3883433.09,-5948291.61,19.53,-4948291.61,-5965982.34,-596.5982,0.171,-0.8165
5m,4,21,411,29298,1213,1157,-1999154.56,3884490.43,-5883644.99,19.36,-4883644.99,-5916429.89,-591.643,0.1827,0.6649
5m,5,21,411,29298,1213,1157,-1916520.78,3884353.21,-5800873.99,19.53,-4800873.99,-5846137.42,-584.6137,0.1968,2.3055
15m,1,21,396,9564,344,297,-362157.99,844810.6,-1206968.59,37.37,-206968.59,-1232688.83,-123.2689,0.2536,-3.6528
15m,2,21,396,9564,344,297,-350720.73,844837.03,-1195557.76,34.68,-195557.76,-1233206.6,-123.3207,0.3029,-3.7989
15m,3,21,396,9564,344,297,-372251.87,845357.68,-1217609.55,35.02,-217609.55,-1250534.49,-125.0534,0.2996,-4.0202
15m,4,21,396,9564,344,297,-352884.83,845349.61,-1198234.44,35.02,-198234.44,-1228121.37,-122.8121,0.3104,-3.2136
15m,5,21,396,9564,344,297,-368577.48,845350.75,-1213928.23,35.02,-213928.23,-1241767.07,-124.1767,0.3015,-4.0065
30m,1,21,0,0,0,0,0,0,0,0.0,1000000.0,0.0,0.0,,
30m,2,21,0,0,0,0,0,0,0,0.0,1000000.0,0.0,0.0,,
30m,3,21,0,0,0,0,0,0,0,0.0,1000000.0,0.0,0.0,,
30m,4,21,0,0,0,0,0,0,0,0.0,1000000.0,0.0,0.0,,
30m,5,21,0,0,0,0,0,0,0,0.0,1000000.0,0.0,0.0,,
1h,1,21,190,1290,80,44,-8162.66,18898.12,-27060.78,50.0,972939.22,-27060.78,-2.7061,0.7148,-6.7531
1h,2,21,190,1290,80,44,-20714.24,18897.33,-39611.57,47.73,960388.43,-39611.57,-3.9612,0.5844,-8.7623
1h,3,21,190,1290,80,44,-20714.24,18897.33,-39611.57,47.73,960388.43,-39611.57,-3.9612,0.5844,-8.7623
1h,4,21,190,1290,80,44,-20714.24,18897.33,-39611.57,47.73,960388.43,-39611.57,-3.9612,0.5844,-8.7623
1h,5,21,190,1290,80,44,-20714.24,18897.33,-39611.57,47.73,960388.43,-39611.57,-3.9612,0.5844,-8.7623
